id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/pajamos_vienam_gyventojui,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S7R239_M2110211,,,vda_id,,,4,,,Bendrosios pajamos vienam gyventojui,"“Nefinansinės institucinių sektorių sąskaitos (toliau – „sąskaitos“), sudaromos pagal tarptautiniu mastu pripažintą standartinių statistinių rodiklių sistemą, kuri išsamiai nusako nacionalinės ekonomikos vystymąsi. Pagrindiniai sąskaitų rodikliai vertinami remiantis Europos nacionalinių ir regioninių sąskaitų sistema ESS 2010 (Europos Parlamento ir Tarybos reglamentas (ES) Nr. 549/2013 priedas A).  Sąskaitos, apima nefinansines sąskaitas, kurios apibūdina įvairius ekonominio proceso etapus: gamybos, pajamų formavimo, pajamų paskirstymo, pajamų perskirstymo, pajamų panaudojimo ir nefinansinio kaupimo. Rinkinyje pateikta informacija apie bendrąsias nacionalines bei disponuojamas pajamas tenkančias vienam gyventojui. Statistinę (tiriamąją) visumą sudaro visi statistiniai stebėjimo vienetai rezidentai. Lietuvos nacionalinės sąskaitos yra išsamios; t. y. visi statistiniai vienetai rezidentai yra apimami tiesiogiai duomenų šaltinių (tyrimų, administracinių duomenų) pagrindu arba per išsamumo korekcijas. Geografinė aprėptis: visa šalies ekonominė teritorija Laiko aprėptis: nuo 1995 m. Matavimo vienetas (-ai): eurai. Periodiškumas metinis."""
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,instituciniai_sektoriai,string,,,,4,open,,Instituciniai sektoriai,
,,,,,instituciniai_sektoriai_id,string,,,,4,open,,Instituciniai sektoriai: identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,nacionaliniu_saskaitu_rodikliai,string,,,,4,open,,Nacionalinių sąskaitų rodikliai,
,,,,,nacionaliniu_saskaitu_rodikliai_id,string,,,,4,open,,Nacionalinių sąskaitų rodikliai: identifikacinis numeris,
,,,,,verte,string,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
