id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/pajamu_koeficientas_S80S20,,,,,,,,,,,,Pajamų pasiskirstymo koeficientas S80/S20,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S3R822M3080105,,,vda_id,,,4,,,Pajamų pasiskirstymo koeficientas S80/S20 (pagal regionus),"Metinė visų Lietuvos privačių namų ūkių ir nuolatinių Lietuvos gyventojų statistinė informacija apie asmenų, kurių ekvivalentinės piniginės disponuojamosios pajamos yra penktojoje kvintilinėje grupėje, ir asmenų,  kurių ekvivalentinės piniginės disponuojamosios pajamos yra pirmojoje kvintilinėje grupėje, santykį pagal regionus nuo 2009 m."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,laikotarpis,date,Y,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,regionai,string,,,,4,open,,Regionai,
,,,,,regionai_id,string,,,,4,open,,Regionai: identifikacinis numeris,
,,,,,verte,numeric,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
,,,,,,,,,,,,,,
,,,,S3R822M3080363,,,vda_id,,,4,,,Pajamų pasiskirstymo koeficientas S80/S20 (pagal amžių ir lytį),"Metinė visų Lietuvos privačių namų ūkių ir nuolatinių Lietuvos gyventojų statistinė informacija apie asmenų, kurių ekvivalentinės piniginės disponuojamosios pajamos yra penktojoje kvintilinėje grupėje, ir asmenų, kurių ekvivalentinės piniginės disponuojamosios pajamos yra pirmojoje kvintilinėje grupėje, santykį pagal amžių ir lytį nuo 2021 m."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,amzius,string,,,,4,open,,Amžius,
,,,,,amzius_id,string,,,,4,open,,Amžius: identifikacinis numeris,
,,,,,laikotarpis,date,Y,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,lytis_id,string,,,,4,open,,Lytis: identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,verte,numeric,%,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
