id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/paslaugu_kainu_indeksai,,,,,,,,,,,,Ūkio subjektams suteiktų paslaugų kainų indeksai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S7R290M20209101,,vda_id,,,,4,,,Ūkio subjektams suteiktų paslaugų kainų indeksai,"Paslaugų kainų indekso (PKI) skaičiavimo tikslas – nustatyti ūkio subjektams suteiktų paslaugų bendrąjį kainų pokytį per tam tikrą laikotarpį. PKI reikalingi skaičiuojant makroekonominius rodiklius palyginamosiomis kainomis, analizuojant infliacinius procesus paslaugų sektoriuje, rengiant prognozes.
Geografinė aprėptis - Visa šalies ekonominė teritorija. Ataskaitinis laikotarpis - Ketvirtis."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,evrk_2,string,,,,4,open,,Ekonominės veiklos rūšis (EVRK 2 red.),
,,,,,evrk_2_id,string,,,,4,open,,Ekonominės veiklos rūšis (EVRK 2 red.): identifikacinis numeris,
,,,,,laikotarpis,date,Q,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
