id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/savininku_bustu_kainu_indekso_svoriai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S7R264_M2021006,,,vda_id,,,4,,,Savininkų užimtų būstų kainų indekso svoriai,"Rinkinyje pateikiama informacija apie savininkų užimtų būstų kainų indekso svorius. Svoris – procentais arba promilėmis išreikšta namų ūkių piniginių išlaidų lyginamoji dalis tam tikrai BKI elementariajai visumai priklausantiems būstams su žeme įsigyti. Kuo didesnis svoris, tuo didesnė tam tikro būsto su žeme klasifikavimo lygio kainų pokyčio įtaka aukštesnio būsto su žeme klasifikavimo lygio kainų pokyčiui. Svorių bazinis laikotarpis – laikotarpis, kurio duomenimis remiantis skaičiuojami indekso svoriai. SUBKI svorių duomenų šaltiniai – nacionalinių sąskaitų duomenys apie bendrojo pagrindinio kapitalo formavimą naujiems būstams, VĮ Registrų centro Nekilnojamojo turto registro ir Sandorių duomenų bazės, Lietuvos banko duomenys apie būsto draudimo įmokas ir išmokas, eksperto parengta gyvenamųjų pastatų sąmatinė dokumentacija. SUBKI svorių bazinis laikotarpis yra t–2 metai, o BKI – t–1 metai."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,islaidu_bustui_kategorija,string,,,,4,open,,Išlaidų būstui kategorija,
,,,,,islaidu_bustui_kategorija_id,string,,,,4,open,,Išlaidų būstui kategorijos identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpio identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetų identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
