id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/uzimtumas_ess2010,,,,,,,,,,,,Užimtumas (ESS 2010),
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S7R219_M2110258,,,vda_id,,,4,,,Užimtumas pagal ESS 2010 (metinis),"Pateikiama statistinė informacija -užimtumas pagal pagal ekonominės veiklos rūšį, apskritis, užimtųjų klasifikaciją(metinis). Užimtumo sąvokai priskiriami visi asmenys, vykdantys nacionalinių sąskaitų gamybos sričiai priskiriamą gamybinę veiklą .Naudojamas Ekonominės veiklos rūšių klasifikatorius (https://osp.stat.gov.lt/klasifikatoriai?portletFormName=FPKL500&classifier-version=50&tab=version), teritorinių statistinių vienetų klasifikatorius (NUTS). Statistinę (tiriamąją) visumą sudaro visi šalies ekonominėje teritorijoje dirbantys asmenys – samdomieji darbuotojai arba savarankiškai dirbantys asmenys (rezidentai ir nerezidentai), įskaitant šauktinius ir atskaitant šalies gyventojus – samdomuosius darbuotojus, dirbančius laikiną darbą kitose šalyse. Geografinė aprėptis - šalies ekonominė teritorija.  Laiko aprėptis nuo 2000 m."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,teritorija,string,,,,4,open,,Teritorijos pavadinimas,
,,,,,teritorija_id,string,,,,4,open,,Teritorijos identifikacinis numeris,
,,,,,teritorija_tipas,string,,,,4,open,,Teritorijos tipas,
,,,,,ekonomines_veiklos_rusis,string,,,,4,open,,"Ekonominės veiklos rūšis (EVRK 2 red., 10)",
,,,,,ekonomines_veiklos_rusis_id,string,,,,4,open,,"Ekonominės veiklos rūšis (EVRK 2 red., 10) identifikacinis numeris",
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai identifikacinis numeris,
,,,,,uzimtuju_klasifikacija,string,,,,4,open,,Užimtųjų klasifikacija,
,,,,,uzimtuju_klasifikacija_id,string,,,,4,open,,Užimtųjų klasifikacija identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Rodiklio vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinio duomenų atnaujinimo data,
,,,,,,,,,,,,,,
,,,,S7R219_M2110133,,,vda_id,,,4,,,Užimtumas pagal ESS 2010 (ketvirtinis),"Pateikiama statistinė informacija -užimtumas pagal ekonominės veiklos rūšį, išlyginimą, užimtųjų klasifikaciją(ketvirtinis). Užimtumo sąvokai priskiriami visi asmenys, vykdantys nacionalinių sąskaitų gamybos sričiai priskiriamą gamybinę veiklą .Naudojamas Ekonominės veiklos rūšių klasifikatorius (https://osp.stat.gov.lt/klasifikatoriai?portletFormName=FPKL500&classifier-version=50&tab=version), teritorinių statistinių vienetų klasifikatorius (NUTS). Statistinę (tiriamąją) visumą sudaro visi šalies ekonominėje teritorijoje dirbantys asmenys – samdomieji darbuotojai arba savarankiškai dirbantys asmenys (rezidentai ir nerezidentai), įskaitant šauktinius ir atskaitant šalies gyventojus – samdomuosius darbuotojus, dirbančius laikiną darbą kitose šalyse. Geografinė aprėptis - šalies ekonominė teritorija.  Laiko aprėptis nuo 2000 m."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,ekonomines_veiklos_rusis,string,,,,4,open,,"Ekonominės veiklos rūšis (EVRK 2 red., 10)",
,,,,,ekonomines_veiklos_rusis_id,string,,,,4,open,,"Ekonominės veiklos rūšis (EVRK 2 red., 10) identifikacinis numeris",
,,,,,islyginimas,string,,,,4,open,,Išlyginimas,
,,,,,islyginimas_id,string,,,,4,open,,Išlyginimas identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai identifikacinis numeris,
,,,,,uzimtuju_klasifikacija,string,,,,4,open,,Užimtųjų klasifikacija,
,,,,,uzimtuju_klasifikacija_id,string,,,,4,open,,Užimtųjų klasifikacija identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Rodiklio vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinio duomenų atnaujinimo data,
