id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/sveikata/,,,,,,,,,,,,Vakcinacijos,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,ZpvVakcinacija,,,vda_id,,,4,,,Paskiepytø ÞPV vakcinacija,Paskiepytø nuo þmogaus papilomos viruso (ÞPV) asmenø skaièius pagal ástaigas ir amþiaus grupes
,,,,,vda_id,string,,,,4,open,,Unikalus kodas,
,,,,,men_data,date,D,,,4,open,,"Vakcinacijos data, apvalinta mënesio tikslumu",
,,,,,lytis,string,,,,4,open,,Asmenø grupës lytis,
,,,,,,enum,,,Moteris,,,,Moteris,
,,,,,,,,,Vyras,,,,Vyras,
,,,,,amziaus_gr,string,,,,4,open,,"Amþiaus grupës: maþiau negu 10m., 11m., 12m., 13m., 14m.,  15-17 m., 18 m. ir daugiau.",
,,,,,,enum,,,18+,,,,18 metø ir vyresni,
,,,,,,,,,12,,,,12 metø,
,,,,,,,,,11,,,,11 metø,
,,,,,,,,,13,,,,13 metø,
,,,,,,,,,15–17,,,,Nuo 15 iki 17 metø,
,,,,,,,,,14,,,,14 metø,
,,,,,,,,,<=10,,,,Iki 10 metø imtinai,
,,,,,apsk_pav,string,,,,4,open,,Apskritis,
,,,,,sav_pav,string,,,,,,,Savivaldybës pavadinimas,
,,,,,jar_kodas,string,,,,,,,Juridinio asmens kodas,
,,,,,pspc_pav,string,,,,4,open,,Pirminës sveikatos prieþiûros ástaigos pavadinimas,
,,,,,pop,integer,,,,4,open,,Prisiraðiusiøjø prie pirminës sveikatos prieþiûros ástaigos asmenø skaièius,
,,,,,dozes_nr,integer,,,,,,,"Vakcinos dozës eiliðkumas: 1, 2, 3, 4",
,,,,,count,integer,,,,,,,Paskiepytø asmenø skaièius pagal paskutinæ asmens dozës eiliðkumo skiepijimo bûsenà.,
,,,,,,,,,,,,,,
,,,,VaikuVakcinacija,,,vda_id,,,4,,,Prie ástaigos prisiraðiusiø nepilnameèiø asmenø skaièius ir paskiepijimas nuo 2021 metø,Prie pirminës ambulatorinës asmens sveikatos prieþiûros ástaigø prisiraðiusiø ir bent kartà paskiepytø nepilnameèiø skaièius nuo 2021 metø. Duomenys parengti naudojantis SVEIDRA bei ESPBI IS informacija.
,,,,,vda_id,string,,,,4,open,,Unikalus kodas,
,,,,,metai,integer,,,,2,open,,"Metai, uþ kuriuos skaièiuojami prisiraðæ ir paskiepyti asmenys konkreèioje ástaigoje",
,,,,,,comment,type,,"update(type:""date"", ref:""Y"")",4,,spinta:123,,
,,,,,jar_kodas,string,,,,4,open,,Juridinio asmens kodas,
,,,,,name,string,,,,4,open,,Ástaigos pavadinimas,
,,,,,savivaldybe,string,,,,4,open,,Ástaigos savivaldybës pavadinimas,
,,,,,gyvenviete,string,,,,4,open,,Ástaigos miestas/gyvenamoji vietovë,
,,,,,adresas,string,,,,4,open,,Ástaigos veiklos adresas,
,,,,,vidutiniskai_prisirasiusiuju,integer,,,,4,open,,"Vidutinis tais metais ástaigoje prisiraðiusiø vaikø skaièius (bendrø prisiraðymo dienø visiems ástaigoje prisiraðiusiems nepilnameèiams, t.y. person-days, skaièius, padalintas ið metø trukmës)",
,,,,,prisirase_bent1d,integer,,,,4,open,,Prie ástaigos prisiraðiusiø bent 1 dienà tais metais nepilnameèiø skaièius,
,,,,,paskiepyta_vaiku,integer,,,,4,open,,"Ástaigoje paskiepytø unikaliø nepilnameèiø skaièius tais metais, neatsiþvelgiant á jø prisiraðymo vietà",
