id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/sveikata/mirciu_priezastys,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,prefix,,,,,,,,
,,,,,,,,,,,,,,
,,,,MirtiesPriezastis,,,,,,4,open,,Mirtys ir jų priežastys Lietuvoje,
,,,,,id,string,,,,4,open,,Unikalus įdentifikatorius,
,,,,,mirties_metai,integer,,,,4,open,,Faktinės asmens mirties datos metai,
,,,,,mirties_menuo,string,,,,4,open,,Faktinės asmens mirties datos mėnuo (du skaitmenys),
,,,,,amziaus_grupe,string,,,,4,open,,"Asmens amžiaus mirties dieną grupė, dešimties metų rėžiais",
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,,enum,,,"""mot""",,,,Moteris,
,,,,,,,,,"""vyr""",,,,Vyras,
,,,,,priezastis,string,,,,2,open,,"Triženklė TLK-10 diagnozė, klasifikatorius",
,,,,,asmenu_sk,integer,,,,2,open,,Mirusių asmenų skaičius,
