id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/sveikata/mokiniu_sveikata,,,,,,,,,,,,Kasmetinės vaikų sveikatos patikros duomenys,"Kaip numato įstatymai, pagal Lietuvos Respublikos bendrojo ugdymo programas darželiuose ir mokyklose besimokantys vaikai iki 18 metų kartą per metus turi pasitikrinti sveikatą. Vaikų sveikatos patikrinimai leidžia laiku nustatyti sveikatos sutrikimus, ragina keisti gyvenimo būdą ir atsižvelgti į mokinio sveikatos poreikius ugdymo procese. Sveikatos patikra susideda iš dviejų dalių: šeimos, vidaus ligų ar vaikų ligų gydytojas arba slaugytojas įvertina vaiko sveikatą, o gydytojas odontologas, gydytojas odontologas specialistas arba burnos higienistas įvertina dantų ir burnos higienos būklę.

Rinkinyje pateikiami išsamūs Lietuvos bendrojo ugdymo darželių ir mokyklų mokinių sveikatos patikrinimo duomenys nuo 2019m. iki šių dienų. Atvėrime panaudoti duomenys iš ESPBĮ, SVEIDRA informacinių sistemų ir Gyventojų registro. Pažymima, jog rinkinio lentelių duomenys tarpusavyje nesijungia. Rinkinys susideda iš trijų lentelių:

1. Mokinio sveikatos pažymėjimas: I. Sveikatos būklės įvertinimas. Pateikiami E027-1 formos pirmos dalies duomenys. Lentelės objektas - moksleivio sveikatos patikrinimas. Pateikiami duomenys apie tikrinimą atlikusią asmens sveikatos priežiūros įstaigą (ASPĮ), prie kurios prirašytas mokinys, nuasmeninti mokinio asmens ir jo sveikatos duomenys (ūgis, svoris) bei vertinimo išvada.

2. Mokinio sveikatos pažymėjimas: II. Dantų ir žandikaulių būklės įvertinimas. Pateikiami E027-1 formos antros dalies duomenys. Lentelės objektas - moksleivio sveikatos patikrinimas. Pateikiami nuasmeninti mokinio asmens ir jo gyvenamosios vietos duomenys bei patikrinimo metu užfiksuota dantų ir žandikaulio duomenys (pieninių ir nuolatinių dantų būklė ir skaičius).

3. Mokinių sveikatos patikrinimų metu įrašytos diagnozės. Lentelėje skelbiamos sveikatos tikrinimų metu užfiksuotos diagnozės su tarptautinės ligų klasifikacijos (TLK) kodais. Lentelės objektas - tikrinimo metu įrašyta diagnozė.

Duomenų teikėjas: Registrų centras

Su duomenimis susijusiais klausimais prašome kreiptis el. paštu atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Diagnoze,,,vda_id,,,4,,,Mokinių sveikatos patikrinimų metu nustatytos diagnozės. Lentelės objektas - mokinio sveikatos tikrinimo metu išrašyta diagnozė. ,
,,,,,vda_id,string,,,,4,open,,Valstybės duomenų agentūros įrašo identifikatorius,
,,,,,tikrinimo_id,string,,,,4,open,,Sveikatos tikrinimo vizito identifikatorius,Visos patikrinimo metu surašytos diagnozės susietos pagal tikrinimo_id stulpelį.
,,,,,diagnoze,string,,,,4,open,,Diagnozės pavadinimas,
,,,,,tlk_kodas,string,,,,4,open,,Tarptautinės ligų klasifikacijos (TLK) kodas,
,,,,,duomenu_atnaujinimas,date,D,,,4,open,,Duomenų atnaujinimo data,
,,,,,,,,,,,,,,
,,,,SveikatosIvertinimas,,,tikrinimo_id,,,4,open,,Sveikatos būklės įvertinimas,E027-1 formos pirmos dalies duomenys
,,,,,tikrinimo_id,string,,,,4,open,,Sveikatos tikrinimo vizito identifikatorius,
,,,,,istaigos_espbi_id,string,,,,4,open,,"Asmens sveikatos priežiūros įstaigos (ASPĮ), kurioje buvo atliktas sveikatos tikrinimas, identifikatorius Elektroninėje sveikatos paslaugų ir bendradarbiavimo sistemoje (ESPBI)","Esant mažiau nei 10 mokinių, gimusių tais pačiais metais, ir tikrinimo metais atlikusių sveikatos tikrinimą, ASPĮ ESPBI identifikatorius nurodomas ""kita"". Pažymėtina, jog ASPĮ, kurioje buvo tikrinta mokinio sveikata, nebūtinai yra mokinio pirminės ambulatorinės asmens sveikatos priežiūros įstaiga (PAASPĮ)"
,,,,,jar_kodas,string,,,,4,open,,"Asmens sveikatos priežiūros įstaigos (ASPĮ), kurioje buvo atliktas sveikatos tikrinimas, juridinio asmens kodas","Esant mažiau nei 10 mokinių, gimusių tais pačiais metais, ir tikrinimo metais atlikusių sveikatos tikrinimą, ASPĮ JAR nurodomas ""kita"". Pažymėtina, jog ASPĮ, kurioje buvo tikrinta mokinio sveikata, nebūtinai yra mokinio pirminės ambulatorinės asmens sveikatos priežiūros įstaiga (PAASPĮ)"
