id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,,,,,,enum,sex,,1,,,,Vyras,
,,,,,,,,,2,,,,Moteris,
,,,,,,,,,,,,,,
,datasets/gov/lsd/svietimas/suaugusiuju,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,SuaugusiujuSvietimas2005,,,,,,,,,Suaugusiųjų švietimo statistinis tyrimas 2005 m.,2005 metais atliktas suaugusiųjų švietimo statistinio tyrimas
,,,,,indyvidualno,integer,,,,,open,,Asmens ID,
,,,,,sex,integer,,,,,open,,Lytis,
,,,,,age,integer,,,,,open,,Amžius,
,,,,,isced2d,integer,,,,,open,,Įgytas aukščiausias išsilavinimas,
,,,,,hatfield ,string,,,,,open,,"Specialybė ar kvalifikacija,  kurią Jūs įgijote",
,,,,,iscdyear,integer,,,,,open,,"Metai, kuriais įgytas aukščiausias išsilavinimas",
,,,,,mainstat,integer,,,,,open,,Dabartinis užimtumo statusas,
,,,,,stapro,integer,,,,,open,,Darbovietėje užimamos pareigos,
,,,,,nace2d,integer,,,,,open,,"Įmonės, kurioje dirbate, ekonominė veikla",
,,,,,isco2d,integer,,,,,open,,Profesija,
,,,,,nbpers,integer,,,,,open,,Asmenų skaičius Jūsų darbovietėje,
,,,,,fedstat,integer,,,,,open,,Ar per pastaruosius 12 mėn. mokėtės formaliojo švietimo įstaigoje,
,,,,,fedlev1,integer,,,,,open,,Kur Jūs mokėtės per pastaruosius 12 mėn?,
,,,,,fedfiel1,string,,,,,open,,Mokymo / studijų programa,
,,,,,fedpur1,integer,,,,,open,,"Pagrindinės priežastys lėmusios, kad Jūs mokėtės?",
,,,,,fedlen1,integer,,,,,open,,"Valandų, praleistų besimokant, skaičius",
,,,,,fedwrk_hr1,integer,,,,,open,,Ar mokėtės darbo metu?,
,,,,,fedemsups1,integer,,,,,open,,Ar Jūsų darbdavys visiškai ar iš dalies  mokėjo už Jūsų mokslą?,
,,,,,fedhouss1,integer,,,,,open,,Ar Jūs pats ar kuris nors Jūsų šeimos narys visiškai ar iš dalies mokėjo už Jūsų mokslą?,
,,,,,fedinwests1,integer,,,,,open,,"Suma, kurią Jūs ar Jūsų šeimos narys mokėjote už Jūsų mokslą?",
,,,,,clasroom,integer,,,,,open,,"Ar per pastaruosius 12 mėn. lankėte kvalifikacijos kėlimo kursus, privačias pamokas",
,,,,,distance,integer,,,,,open,,Ar per pastaruosius 12 mėn. mokėtės nuotoliniuose kursuose?,
,,,,,semwork,integer,,,,,open,,Ar per paskutinius 12 mėn. lankėte seminarus ir konferencijas?,
,,,,,guiotjt,integer,,,,,open,,Ar per pastaruosius 12 mėn. buvote mokomas darbo vietoje?,
,,,,,nfe999,integer,,,,,open,,"Mokymo kursų, privačių pamokų, seminarų, konferencijų, kuriuose dalyvavote per paskutinius 12 mėn., skaičius",
,,,,,nfepurp1,integer,,,,,open,,"Pagrindinės priežastys, lėmusios, kad Jūs mokėtės atsitiktinai išrinktuose mokymuose",
,,,,,nferjob1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, kad galėtumėte geriau atlikti savo darbą",
,,,,,nferlosj1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, norėdamas (-a) būti tikras (-a), kad neprarasite darbo",
,,,,,nferprom1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, kad turėtumėte didesnes galimybes susirasti naują darbą, pakeisti specialybę, profesinę kvalifikaciją",
,,,,,nfenbuis1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, kad pradėtumėte nuosavą verslą",
,,,,,nferobl1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, nes to reikalavo darbdavys",
,,,,,nferskil1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, nes norėjote įgyti žinių ir įgūdžių, naudingų kasdieniniame gyvenime",
,,,,,nfersub1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, nes norėjote įgyti daugiau žinių apie Jus dominantį dalyką",
,,,,,nfercer1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, kad gautumėte pažymėjimą, suteikiantį kvalifikaciją ar teisę atlikti darbą",
,,,,,nferfun1,integer,,,,,open,,"Jūs mokėtės šiuose mokymuose, kad susipažintumėte su naujais žmonėmis",
,,,,,nfewrk_hr1,integer,,,,,open,,Ar mokėtės darbo metu?,
,,,,,nfeemsups1,integer,,,,,open,,Ar Jūsų darbdavys visiškai arba iš dalies mokėjo už Jūsų mokslą?,
,,,,,nfehouss1,integer,,,,,open,,Ar Jūs pats arba kuris nors Jūsų šeimos narys visiškai ar iš dalies mokėjo už Jūsų mokslą?,
,,,,,nfelen1,integer,,,,,open,,"Valandų, praleistų besimokant, skaičius",
,,,,,nfeeval1,integer,,,,,open,,Ar pasinaudojote (tikitės pasinaudoti) mokymosi metu įgytomis žiniomis?,
,,,,,wntpar,integer,,,,,open,,Ar per pastaruosius 12 mėn. Jūs norėjote mokytis?,
,,,,,nwntjob,integer,,,,,open,,"Jūs nesimokėte, nes darbe nebuvo poreikio mokytis",
,,,,,nwntpers,integer,,,,,open,,"Jūs nesimokėte, nes nebuvo poreikio",
,,,,,nwntperq,integer,,,,,open,,"Jūs nesimokėte, nes neturėjote reikalingų sugebėjimų",
,,,,,nwntpric,integer,,,,,open,,"Jūs nesimokėte, nes mokymasis buvo per brangus",
,,,,,nwntsup,integer,,,,,open,,"Jūs nesimokėte, nes trūko darbdavio paramos",
,,,,,nwntwrsc,integer,,,,,open,,"Jūs nesimokėte, nes sunku buvo suderinti mokymosi ir darbo laiką",
,,,,,nwntntim,integer,,,,,open,,"Jūs nesimokėte, nes buvote per daug užimtas namuose",
,,,,,nwntdist,integer,,,,,open,,"Jūs nesimokėte, nes mokymosi vieta buvo per toli",
,,,,,nwntshol,integer,,,,,open,,"Jūs nesimokėte, nes nenorėjote vėl grįžti į mokslus",
,,,,,nwntager,integer,,,,,open,,"Jūs nesimokėte, nes trukdė sveikata, amžius",
,,,,,wntperq,integer,,,,,open,,"Jūs nesimokėte, nes neturėjote reikalingų sugebėjimų",
,,,,,wntpric,integer,,,,,open,,"Jūs nesimokėte, nes mokymasis buvo per brangus",
,,,,,wntsup,integer,,,,,open,,"Jūs nesimokėte, nes trūko darbdavio paramos",
,,,,,wntwrsc,integer,,,,,open,,"Jūs nesimokėte, nes buvote užsiėmęs darbe",
