id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/turizmas,,,,,,,,,,,,Turizmo statistiniai tyrimai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,enum,bool,,1,,,,Taip,
,,,,,,,,,0,,,,Ne,
,,,,KelionesAtvykBeNakv2021,,,id,,,,,,Atvykstančių turistų kelionės be nakvynės 2021 m.,
,,,,,id,integer,,id,,4,open,,Respondento ID kodas,
,,,,,lytis,string,,lytis,,4,open,,Lytis,Respondento lytis
,,,,,,enum,,,"""1""",,,,Vyras,
,,,,,,,,,"""2""",,,,Moteris,
,,,,,amzius,string,,amzius,,4,open,,Amžiaus grupė,Respondento amžiaus grupė
,,,,,,enum,,,"""1""",,,,15-24,
,,,,,,,,,"""2""",,,,25-34,
,,,,,,,,,"""3""",,,,35-44,
,,,,,,,,,"""4""",,,,45-54,
,,,,,,,,,"""5""",,,,55-64,
,,,,,,,,,"""6""",,,,65+,
,,,,,gyv_salis,string,,gyv_salis,,3,open,,Gyvenamoji šalis,Respondento nuolatinė gyvenamoji šalis arba jų grupė
,,,,,gyv_salies_kodas,string,,gyv_salies_kodas,,2,open,,Gyvenamosios šalies kodas,Respondento nuolatinė gyvenamoji šalis (dviraidis kodas) arba jų grupė (tuščia)
,,,,,apkl_vieta,string,,apkl_vieta,,3,open,,Apklausos atlikimo vieta,
,,,,,ketvirtis,string,,ketvirtis,,3,open,,Metų ketvirtis,
,,,,,tikslas,string,,tikslas,,4,open,,Kelionės tikslas,
,,,,,,enum,,,"""1""",,,,Laisvalaikis,
,,,,,,,,,"""26""",,,,Verslas,
,,,,,,,,,"""3""",,,,Draugų ir giminių lankymas,
,,,,,,,,,"""4""",,,,Sveikatinimo tikslai,
,,,,,,,,,"""5""",,,,Pirkiniai,
,,,,,,,,,"""7""",,,,Kita,
,,,,,transporto_priemone,string,,transporto_priemone,,4,open,,Transporto priemonė,"Pagrindinė transporto priemonė, kuria keliavo"
,,,,,,enum,,,"""1""",,,,Lengvasis automobilis,
,,,,,,,,,"""2""",,,,Maršrutinis autobusas,
,,,,,,,,,"""3""",,,,Nereguliarių reisų autobusas,
,,,,,,,,,"""4""",,,,Traukinys,
,,,,,,,,,"""5""",,,,Lėktuvas,
,,,,,,,,,"""6""",,,,"Laivas, keltas",
,,,,,,,,,"""78""",,,,Kita,
,,,,,trukme,integer,h,trukme,,4,open,,Kiek valandų praleido Lietuvoje,
,,,,,pirmakart,integer,bool,pirmakart,,4,open,,Ar pirmąkart lankėsi Lietuvoje,
,,,,,islaid_pries,integer,,islaid_pries,,2,open,,Išlaidos prieš kelionę,"Visos išlaidos čia pateiktos vienam asmeniui (respondento nurodytos išlaidos padalintos iš asmenų skaičiaus); apima paslaugų paketą, vizą ir kitas išlaidas prieš kelionę"
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,zmoniu_sk_pries,integer,U,zmoniu_sk_pries,,4,open,,"Žmonių skaičius, kuriam nurodytos išlaidos prieš kelionę",
,,,,,islaid_paketui,integer,,islaid_paketui,,2,open,,Išlaidos paslaugų paketui,"Nurodyta vidutinė kaina vienai šaliai, jei paslaugų paketas apima kelias šalis"
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,islaid_vizai,integer,,islaid_vizai,,2,open,,Išlaidos vizai ir kitiems kelionės dokumentams,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,islaid_ktpries,integer,,islaid_ktpries,,2,open,,Kitos išlaidos prieš kelionę,"Apima bilietus į renginius ir kt., išskyrus kelionės bilietus"
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,saliu_pakete,integer,U,saliu_pakete,,4,open,,Kiek šalių apėmė paslaugų paketas,
,,,,,islaid_lt,integer,,islaid_lt,,2,open,,Išlaidos Lietuvoje,Visos išlaidos čia pateiktos vienam asmeniui (respondento nurodytos išlaidos padalintos iš asmenų skaičiaus)
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,zmoniu_sk,integer,U,saliu_pakete,,4,open,,"Žmonių skaičius, kuriam nurodytos išlaidos Lietuvoje",
