id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/vpt/cvpp,,,,,,,,,,,,Viešųjų pirkimų duomenys,"Viešųjų pirkimų tarnybos Centrinė viešųjų pirkimų sistemos sutarčių posistemė kaupia viešųjų pirkimų sutarčių bei juose dalyvaujančių šalių duomenis. Rinkinys sudarytas iš dviejų atskirų lentelių apie viešųjų pirkimų sutatis ir jose dalyvaujančias šalis. Abi lentelės yra apjungiamos dokumentų identifikatoriaus stulpelių. Nors sutarčių lentelės stulpeliai palikti kuo panašesni į pradinius įstaigos prašymu, šalių lentelės stulpeliai pervadinti vartotojui draugiškesne kalba siekiant išvengti painiavos naudojant pradinius pavadinimus. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Sutartis,,,dok_id,,,,,,Viešųjų pirkimų sutartys,"Viešųjų pirkimų sutarčių lentelė. Lentelė sudaryta iš dokumento bei vidinio sistemos identifikatorių, sutarties sekos, CPV kodo, sutarties tipo, registracijos numerio, sutarties numerio, pirkimo numerio, statuso, sutarties objekto rūšies, jo pavadinimo, sutarties vertės, sutarties faktinio įvykdymo datos ir vertės, dokumento sudarymo, registracijos, įvedimo ir išsiuntimo datų, sutarties formos tipo, sutarties turinio, registruoto subjekto bei sisteminio vartotojo identifikatorių bei požymių, ar sutartis importuota ir, ar tinka išsiuntimui. Vienas įrašas atitinka vieną sutarties dokumentą."
,,,,,dok_id,string,,,,4,open,,Pagrindinis identifikatorius,
,,,,,internal_id,string,,,,3,open,,Vidinis identifikatorius,
,,,,,cpv_codes,string,,,,3,open,,Sutarties CPV kodas,
,,,,,dok_sut_tipas,boolean,,,,3,open,,Sutarties tipas,
,,,,,dok_reg_nr,integer,,,,3,open,,Sutarties registracijos numeris,
,,,,,dok_sut_numeris,string,,,,3,open,,Sutarties numeris,
,,,,,dok_pirk_numeris,string,,,,3,open,,Pirkimo numeris,
,,,,,dok_statusas,string,,,,3,open,,Sutarties statusas,
,,,,,dok_sut_obj_rusis,string,,,,3,open,,Sutarties objekto rūšis,
,,,,,dok_sut_obj_pav,string,,,,3,open,,Sutarties objektas,
,,,,,dm,datetime,S,,,3,open,,DM data ir laikas,
,,,,,dok_fakt_sut_ivyk_data,date,D,,,3,open,,Faktinė sutarties įvykdymo data,
,,,,,dok_sut_verte,number,,,,3,open,,Sutarties vertė,
,,,,,dok_fakt_sut_ivyk_verte,number,,,,3,open,,Faktinė sutarties įvykdymo vertė,
,,,,,dok_sudarymo_data,date,D,,,3,open,,Dokumento sudarymo data,
,,,,,dok_reg_data,date,D,,,3,open,,Dokumento registracijos data,
,,,,,dok_sys_reg_data,date,D,,,3,open,,Dokumento registracijos sistemoje data,
,,,,,dok_ivedimo_data,date,D,,,3,open,,Dokumento įvedimo data,
,,,,,dok_issiuntimo_data,date,D,,,3,open,,Dokumento išsiuntimo data,
,,,,,dok_sut_galiojimo_data,date,D,,,3,open,,Sutarties galiojimo data,
,,,,,dok_formos_tipas,string,,,,3,open,,Sutarties formos tipas,
,,,,,dok_turinys,string,,,,3,open,,Sutarties turinys,
,,,,,dok_reg_sbj_id,string,,,,3,open,,Išorinis raktas į sutarties registruotą subjektą,
,,,,,dok_po_tinka_issiuntimui,integer,,,,3,open,,Ar sutartis tinka išsiuntimui,
,,,,,imported,boolean,,,,3,open,,Ar sutartis importuota,
,,,,,user_id,string,,,,3,open,,Išorinis raktas į vartotoją,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Salis,,,vda_prime_key,,,,,,Viešųjų pirkimų šalys,"Viešųjų pirkimų šalių lentelė. Duomenų rinkinys sudarytas iš pirkimo dokumento identifikatoriaus, šalies asmens kodo, asmens rūšies, pavadinimo, eilės numerio viešojo pirkimio sutartyje, požymio, ar ši šalis yra tiekėjas, bei tiekėjo subjekto patikslinimo. Vienas įrašas atitinka vieną dokumento ir šalies kombinaciją."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,dok_id,string,,,,4,open,,Išorinis raktas į viešojo pirkimo sutartį,
,,,,,salies_kodas,string,,,,4,open,,Šalies asmens kodas,
,,,,,salies_asmens_rusis,string,,,,4,open,,Šalies asmens rūšis,
,,,,,,enum,,,,,,,,
,,,,,,,,"""Juridinis""",,,,,Juridinis,
,,,,,,,,"""Fizinis""",,,,,Fizinis,
,,,,,,,,"""Nežinomas""",,,,,Nežinomas,
,,,,,salies_pavadinimas,string,,,,4,open,,Šalies pavadinimas,
,,,,,salies_eil_nr,integer,,,,4,open,,Šalies eilės numeris atitinkamoje viešojo pirkimo sutartyje,
,,,,,ar_salis_tiekejas,boolean,,,,4,open,,Ar šalis yra tiekėjas atitinkamoje viešojo pirkimo sutartyje,
,,,,,tiekejo_subjekto_patikslinimas,string,,,,1,open,,Tiekėjo subjekto patikslinimas,
