id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lst/standards,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,TermApprovedBy,,,,,,,,,,Standarte nurodyto termino straipsnį aprobavęs subjektas
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,TermSource,,,,,,,,,,Šaltinis iš kur paimtas terminas (iš terminų standarto arba iš standarto apibrėžimų skyriaus)
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,ActionType,,,,,,,,,,"Standarto rengimo eiga (etapai, kurie nurodo kokius veiksmus sistemoje turi atlikti departamento darbuotojas)"
,,,,,name,string,,,,,open,,,
,,,,,description,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,DegreeOfEquivalence,,,,,,,,,,"Nacionalinio standarto atitikties tarptautiniam standartui laipsnis (tapatus, modifikuotas, nelygiavertis, nacionalinis)"
,,,,,name,string,,,,,open,,,
,,,,,notation,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,ForeignTcMembershipStatus,,,,,,,,,,LST TK dalyvavimas tarptautinių standartizacijos organizacijų veikloje tikrojo nario arba nario stebėtojo teisėmis
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,ImplementationType,,,,,,,,,,"Tarptautinių ir Europos standartų perėmimo nacionaliniais standartais būdai (atgaminimo, vertimo, atgaminimo ir vertimo, patvirtinimo)"
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,LRLawStatementType,,,,,,,,,,"Europos Sąjungos direktyvą įgyvendinančio nacionalinio teisės akto tipas (įstatymas, nutarimas, įsakymas, taisyklės)"
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,Language,,,,,,,,,,Kalbos ir jų kodai
,,,,,code,string,,,,,open,,,
,,,,,description,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,OrganisationUnitStatus,,,,,,,,,,"Lietuvos standartizacijos departamento technikos komitetų veiklos būsena (aktyvus, sustabdytas, likviduotas)"
,,,,,name,string,,,,,open,,,
,,,,,,,,,,,,,,
,,,,OrganisationUnitType,,,,,,,,,,"Lietuvos standartizacijos departamento struktūriniai subjektai (vidinis skyrius, darbo grupė, technikos komitetas, laikinoji darbo grupė, terminologijos komisija)"
,,,,,name,string,,,,,open,,,
,,,,,level,integer,,,,,open,,,
,,,,,,,,,,,,,,
,,,,ProjectNotificationStatus,,,,,,,,,,"Nacionalinio standarto projekto notifikavimo CEN  arba CLC statusas (nauja darbo tema, projektas pateiktas viešai apklausai)"
,,,,,code,integer,,,,,open,,,
,,,,,name_lt,string,,,,,open,,,
,,,,,name_en,string,,,,,open,,,
,,,,,,,,,,,,,,
