id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ltsa/juru_laivai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,JuruLaivas,,,record_id,,,4,open,,Jūrų laivai,
,,,,,record_id,string,,,,4,open,,Įrašo ID,
,,,,,own_le,string,,,,2,open,,Savininkas JA,Savininko juridinio asmens kodas
,,,,,adm_le,string,,,,2,open,,Valdytojas JA,Valdytojo juridinio asmens kodas
,,,,,own_np_sys_id,string,,,,2,open,,Savininkas FA,Savininko fizinio asmens ID
,,,,,reg_perm_expired,string,,,,2,open,,Registracija panaikinta,
,,,,,reg_perm_from,string,,,,2,open,,Registracija galioja nuo,
,,,,,reg_perm_id,string,,,,2,open,,Registracijos ID,
,,,,,reg_perm_no,string,,,,2,open,,Registracijos numeris,
,,,,,reg_perm_to,string,,,,2,open,,Registracija galioja iki,
,,,,,reg_perm_unreg,string,,,,2,open,,Išregistravimas,
,,,,,ship_constructed,string,,,,2,open,,Laivo pastatymo metai,
,,,,,ship_call_sign,string,,,,4,open,,Laivo šaukiniai,
,,,,,ship_dw,string,,,,2,open,,Laivo dedveito tonažas,
,,,,,ship_gross_tg,string,,,,2,open,,Laivo bendroji talpa,
,,,,,ship_id,string,,,,2,open,,Laivo ID,
,,,,,ship_imo,string,,,,2,,open,,Laivo IMO kodas,International Marytime Organization identifikacinis kodas
,,,,,ship_length,string,,,,2,open,,Laivo gabaritinis ilgis,
,,,,,ship_max_drght,string,,,,2,open,,Laivo grimzlė,
,,,,,ship_name,string,,,,4,open,,Laivo pavadinimas,
,,,,,ship_net_tg,string,,,,2,open,,Laivo grynoji talpa,
,,,,,ship_recon,string,,,,2,open,,Laivo rekonstrukcija,
,,,,,ship_side_hght,string,,,,2,open,,Laivo borto aukštis,
,,,,,ship_width,string,,,,2,open,,Laivo gabaritinis plotis,
,,,,,ship_type,string,,,,3,open,,Laivo tipas,
,,,,,reg_temp_from,string,,,,2,open,,Laikina registracija galioja nuo,
,,,,,reg_temp_to,string,,,,2,open,,Laikina registracija galioja iki,
