id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ltsa/keliu_licencijos,,,,,,,,,,,,Kelių transporto veiklos licencijos,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RoadLicence,,,id,,,4,,,Kelių transporto veiklos licencijos,
,,,,,valid,string,,,,2,open,,Galiojimo būklė,
,,,,,valid_to,datetime,D,,,4,open,,Galioja iki,
,,,,,id,integer,,,,4,open,,Licencijos ID,
,,,,,valid_from,datetime,D,,,4,open,,Galioja nuo,
,,,,,number,string,,,,2,open,,Licencijos numeris,
,,,,,type,string,,,,2,open,,Licencijos tipas,
,,,,,company,string,,,,2,open,,Vežėjas,
