id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ltsa/keliu_specialistai,,,,,,,,,,,,Kelių specialistų sąrašas,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RoadSpecialist,,,id,,,2,,,Kelių specialistų sąrašas,
,,,,,valid,string,,,,2,open,,Galiojimo būklė,
,,,,,type,string,,,,3,open,,Tipas,
,,,,,valid_to,string,,,,2,open,,Galioja iki,
,,,,,id,string,,,,2,open,,Pažymėjimo ID,
,,,,,valid_from,string,,,,2,open,,Galioja iki,
,,,,,number,string,,,,4,open,,Pažymėjimo numeris,
