id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lzukt,,,,,,,,,,,,Lietuvos žemės ūkio konsultavimo tarnyba ,"Lietuvos žemės ūkio konsultavimo tarnybos integruotos augalų apsaugos informavimo, konsultavimo ir mokymų informacinė sistemos duomenų rinkiniai, skirti augalų kenkėjų, ligų ir žalingumo įverčių stebėsenai bei analizei."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Kenkejas,,,vda_id,,,4,open,,Augalų kenkėjų katalogas,"Integruotos augalų apsaugos informavimo, konsultavimo ir mokymų informacinė sistemos kenkėjų katalogas"
,,,,,vda_id,string,,,,4,open,,Unikalus kenkėjo identifikatorius,
,,,,,kenkejas,string,,,,4,open,,Kenkėjo pavadinimas,
,,,,,kenkejas_lot,string,,,,4,open,,Kenkėjo pavadinimas lotyniškai,
,,,,,sritis,string,,,,4,open,,Kenkėjo priklausomybė sričiai,
,,,,,grupe,string,,,,4,open,,Kenkėjo grupė,
,,,,,aprasymas,string,,,,4,open,,Kenkėjo aprašymas,
,,,,,palankios_plisti_salygos,string,,,,4,open,,Kenkėjui plisti palankios salygos,
,,,,,zalingumo_riba,string,,,,4,open,,Žalingumo riba,
,,,,,kontroles_priemones,string,,,,4,open,,Kontrolinės priemonės,
,,,,,kokius_augalus_pazeidzia,string,,,,4,open,,"Aprašymas, kokius augalus pažeidžia",
,,,,,atsparumo_valdymas,string,,,,4,open,,"Aprašymas, kaip valdyti atsparumą kenkėjui",
,,,,,,,,,,,,,,
,,,,Liga,,,vda_id,,,4,open,,Augalų ligų katalogas,"Integruotos augalų apsaugos informavimo, konsultavimo ir mokymų informacinė sistemos ligų katalogas"
,,,,,vda_id,string,,,,4,open,,Unikalus kenkėjo identifikatorius,
,,,,,liga,string,,,,4,open,,Kenkėjo pavadinimas,
,,,,,liga_lot,string,,,,4,open,,Kenkėjo pavadinimas lotyniškai,
,,,,,sritis,string,,,,4,open,,Kenkėjo priklausomybė sričiai,
,,,,,grupe,string,,,,4,open,,Kenkėjo grupė,
,,,,,aprasymas,string,,,,4,open,,Kenkėjo aprašymas,
,,,,,palankios_plisti_salygos,string,,,,4,open,,Kenkėjui plisti palankios salygos,
,,,,,zalingumo_riba,string,,,,4,open,,Žalingumo riba,
,,,,,kontroles_priemones,string,,,,4,open,,Kontrolinės priemonės,
,,,,,kokius_augalus_pazeidzia,string,,,,4,open,,"Aprašymas, kokius augalus pažeidžia",
,,,,,,,,,,,,,,
,,,,Ivertis,,,vda_id,,,4,open,,Augalų kenksmingų organizmų plitimo žalingumo įverčiai,"Integruotos augalų apsaugos informavimo, konsultavimo ir mokymų informacinė sistemos augalų kenksmingų organizmų plitimo žalingumo įverčiai"
,,,,,vda_id,string,,,,4,open,,Unikalus stebėjimo identifikatorius,
,,,,,stebejimo_data,date,D,,,4,open,,Stebėjimo data,
,,,,,augalo_pavadinimas,string,,,,4,open,,Stebėto augalo pavadinimas,
,,,,,ligos_kenkejo_pavadinimas,string,,,,4,open,,Aptiktos ligos ar kenkėjo pavadinimas,
,,,,,ligos_kenkejo_pavadinimas_lot,string,,,,4,open,,Aptiktos ligos ar kenkėjo pavadinimas lotyniškai,
,,,,,zalingumo_ivertis,intiger,,,,4,open,,Žalingumo įvertis,
,,,,,pazeidimo_lygis,string,,,,4,open,,Augalų pažeidimo lygis,
,,,,,savivaldybe,string,,,,4,open,,"Savivaldybė, kuriuoje atlikti stebėjimai",
