id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lzukt/ikmis/iverciai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,iverciai,,,,json,,https://www.ikmis.lt/api/EP1/GetKenksminguOrganizmuZalingumoIverciai,,,,,,
,,,,Ivertis,,,"augalo_pavadinimas, ligos_kenkejo_pavadinimas, savivaldybe, stebejimo_data",,,,,,,
,,,,,augalo_pavadinimas,string,,AugaloPavadinimas,,2,open,,,
,,,,,ligos_kenkejo_pavadinimas,string,,LigosKenkejoPavadinimas,,2,open,,,
,,,,,zalingumo_ivertis,integer,,ZalingumoIvertis,,4,open,,,
,,,,,pazeidimo_lygis,string,,PazeidimoLygis,,4,open,,,
,,,,,,enum,,sveiki augalai,"""sveiki augalai""",,,,,
,,,,,,,,vidutiniškai,"""vidutiniškai""",,,,,
,,,,,,,,stipriai,"""stipriai""",,,,,
,,,,,savivaldybe,string,,Savivaldybe,,3,open,,,
,,,,,stebejimo_data,date,,StebejimoData,,4,open,,,
