id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/marijampoles_sav/savivaldybes_objektai,,,,,,,,,,,,Sutartys dėl nekilnojamo turto objektų,Informacija apie  Marijampolės savivaldybės sudarytas sutartis dėl nekilnojamo turto objektų
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,ZemesSklypas,,,vda_prime_key,,,4,,,Sutartys dėl žemės sklypų,Informacija apie  Marijampolės savivaldybės sudarytas sutartis dėl žemės sklypų  
,,,,,vda_prime_key,string,,,,,,,VDA eilutes identifikatorius,
,,,,,objekto_id,string,,,,4,open,,Objekto identifikatorius,
,,,,,ntr_kodas,string,,,,4,open,,Nekilnojamo turto registro kodas,
,,,,,objekto_aprasymas,string,,,,4,open,,Objekto aprašymas,
,,,,,,enum,,,"""Žemės sklypas""",,,,,
,,,,,,,,,"""Žemės sklypo dalis""",,,,,
,,,,,plotas_ha,double,,,,4,open,,Plotas hektarais,
,,,,,sutarties_numeris,string,,,,4,open,,Sutarties numeris,
,,,,,sutarties_pasirasymo_data,date,D,,,4,open,,Sutarties pasirašymo data,
,,,,,sutarties_galiojimo_pabaiga,date,D,,,4,open,,Sutarties galiojimo pabaigos data,
,,,,,sutarties_tipas,string,,,,4,open,,Sutarties tipas,
,,,,,,enum,,,"""Patikėjimo teisė""",,,,Patikėjimo teise valdomas objektas,
,,,,,,,,,"""Nuoma""",,,,Išnuomojamas objektas,
,,,,,,,,,"""Panauda""",,,,Panaudos sutartimi valdomas objektas,
,,,,,,,,,"""Subnuoma""",,,,,
,,,,,miestas,string,,,,4,open,,"Miestas arba miestelis, kuriame yra objektas",
,,,,,gatve,string,,,,4,open,,"Gatvė, kurioje yra objektas",
,,,,,seniunija,string,,,,4,open,,"Seniūnija, kurioje yra objektas",
,,,,,namo_numeris,string,,,,4,open,,Objekto namo numeris,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Patalpa,,,vda_prime_key,,,4,,,Sutartys dėl  gyvenamųjų ir negyvenamųjų patalpų,Informacija apie  Marijampolės savivaldybės  sudarytas sutartis dėl gyvenamųjų ir negyvenamųjų patalpų
,,,,,vda_prime_key,string,,,,4,open,,VDA eilutes identifikatorius,
,,,,,objekto_id,string,,,,4,open,,Objekto identifikatorius,
,,,,,ntr_kodas,string,,,,4,open,,Nekilnojamo turto registro kodas,
,,,,,objekto_aprasymas,string,,,,4,open,,Objekto aprašymas,
,,,,,objekto_plotas,number,,,,4,open,,Objekto plotas kvadratiniais metrais,
,,,,,registro_tipas,string,,,,4,open,,Objekto registro tipas,
,,,,,,enum,,,"""Patalpos/butai""",,,,,
,,,,,statybos_metai,date,Y,,,4,open,,Objekto statybos metai,
,,,,,sutarties_numeris,string,,,,4,open,,Sutarties numeris,
,,,,,sutarties_pasirasymo_data,date,D,,,4,open,,Sutarties pasirašymo data,
,,,,,sutarties_galiojimo_pabaiga,date,D,,,4,open,,Sutarties galiojimo pabaigos data,
,,,,,sutarties_tipas,string,,,,4,open,,Sutarties tipas,
,,,,,,enum,,,"""Nuoma""",,,,,
,,,,,,,,,"""Panauda""",,,,,
,,,,,,,,,"""Patikėjimo teisė""",,,,,
,,,,,,,,,"""Subnuoma""",,,,,
,,,,,miestas,string,,,,4,open,,"Miestas arba miestelis, kuriame yra objektas",
,,,,,gatve,string,,,,4,open,,"Gatvė, kurioje yra objektas",
,,,,,seniunija,string,,,,4,open,,"Seniūnija, kurioje yra objektas",
,,,,,namo_numeris,string,,,,4,open,,Objekto namo numeris,
,,,,,buto_numeris,string,,,,4,open,,Objekto buto numeris,
