id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/migracija/lt_pilietybe,,,,,,,,,,,,,Duomenys apie asmenis
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Prasymas,,,id,,,4,open,,Prašymai dėl Lietuvos Respublikos pilietybės,
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,pateikimas,date,D,,,4,open,,Prašymo pateikimo data,
,,,,,prasymo_registracija,date,D,,,4,open,,Prašymo registracijos data,
,,,,,pagrindas,string,,,,3,open,,Prašymo pagrindas,
,,,,,pilietybe,string,,,,2,open,,Asmens pilietybė,
,,,,,,comment,property,,"""update(property: """"pilietybe[]""""",,,,,
,,,,,amziaus_grupe,string,,,,3,open,,Asmens amžiaus grupė pagal gimimo datą,
,,,,,lytis,string,,,,4,,,Lytis byloje,
,,,,,,enum,,,"""M""",,open,,Moteris,
,,,,,,,,,"""V""",,,,Vyras,
,,,,,skubus_prasymas,boolean,,,,4,open,,Prašymo nagrinėjimo tvarka,
,,,,,skyrius,string,,,,4,open,,Prašymo būsenos sukūrimo vieta,
,,,,,,,,,,,,,,
,,,,Sprendimas,,,id,,,4,open,,Sprendimai dėl Lietuvos Respublikos pilietybės suteikimo,
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,sprendimo_registracija,date,D,,,4,open,,Sprendimo registracijos data,
,,,,,sprendimas,string,,,,3,open,,Migracijos departamento sprendimas dėl Lietuvos Respublikos pilietybės,
,,,,,sprendimo_pagrindas,string,,,,3,open,,Sprendimo pagrindas,
,,,,,poreiksme,string,,,,3,open,,Sprendimo poreikšmė,
,,,,,,comment,property,,"""update(property: """"poreiksme[]""""",,,,,
,,,,,pilietybe,string,,,,2,open,,Sprendimą gavusio asmens pilietybė,
,,,,,,comment,property,,"""update(property: """"pilietybe[]""""",,,,,
,,,,,amziaus_grupe,string,,,,3,open,,Sprendimą gavusio asmens amžiaus grupė,
,,,,,lytis,string,,,,4,,,Sprendimą gavusio asmens lytis,
,,,,,,enum,,,"""M""",,open,,Moteris,
,,,,,,,,,"""V""",,,,Vyras,
