id	dataset	resource	base	model	property	type	ref	source	prepare	level	access	uri	title	description
	datasets/gov/migracija/teise_gyventi_lr													"Duomenys apie treèiøjø ðaliø pilieèius, kuriems buvo iðduoti ar pakeisti leidimai laikinai gyventi Lietuvos Respublikoje, Lietuvos Respublikos ilgalaikio gyventojo leidimai gyventi Europos Sàjungoje, Sàjungos pilieèio ðeimos nario leidimo laikinai gyventi ðalyje kortelës ir Sàjungos pilieèio ðeimos nario leidimo nuolat gyventi ðalyje kortelës. Duomenys apie Europos Sàjungos pilieèius ir Europos laisvosios prekybos asociacijos valstybës narës pilieèius, kuriems buvo iðduoti ar pakeisti teisës laikinai gyventi Lietuvos Respublikoje paþymëjimai ir teisës nuolat gyventi Lietuvos Respublikoje paþymëjimai."
														
				Prasymas			id			3	open		"Duomenys apie treèiøjø ðaliø pilieèiø praðymus iðduoti ar pakeisti leidimà laikinai gyventi Lietuvos Respublikoje, ágyti Lietuvos Respublikos ilgalaikio gyventojo leidimà gyventi Europos Sàjungoje, Sàjungos pilieèio ðeimos nario leidimo laikinai gyventi ðalyje kortelæ ir Sàjungos pilieèio ðeimos nario liedimo nuolat gyventi ðalyje kortelæ. Taip pat duomenys apie Europos Sàjungos pilieèiø ir Europos laisvosios prekybos asociacijos valstybës narës pilieèiø praðymus iðduoti ar pakeisti teisës laikinai gyventi Lietuvos Respublikoje paþymëjimà ir tesës nuolat gyventi Lietuvos Respublikoje paþymëjimà."	
					id	string				4	open		Unikalus identifikatorius	
					pateikimas	date	D			4	open		Praðymo pateikimo data	
					prasymo_registracija	date	D			4	open		Praðymo registracijos data	
					pagrindas	string				3	open		Praðymo pagrindas	
					pilietybe	string				3	open		Asmens pilietybë	
					amziaus_grupe	string				3	open		"Asmens amþiaus grupë pagal gimimo datà, nurodytà byloje"	
					lytis	string				4			Lytis byloje	
						enum			"""M"""		open		Moteris	
									"""V"""				Vyras	
					skubus_prasymas	boolean				4	open		Praðymo nagrinëjimo tvarka	
					skyrius	string				3	open		Praðymo bûsenos sukûrimo vieta	
														
				Sprendimas			id			3	open		Duomenys apie prieglobsèio gavëjus	
					id	string				4	open		Unikalus identifikatorius	
					sprendimo_registracija	date	D			4	open		Sprendimo registracijos data	
					sprendimas	string				4	open		Migracijos departamento sprendimas praðytojui	
					pilietybe	string				3	open		Sprendimà gavusio asmens pilietybë	
					amziaus_grupe	string				3	open		Sprendimà gavusio asmens amþiaus grupë	
					lytis	string				4			Sprendimà gavusio asmens lytis	
						enum			"""M"""		open		Moteris	
									"""V"""				Vyras	
					pagrindas	string				3	open		Sprendimo pagrindas	
					poreiksme	string				3	open		Sprendimo poreikðmë	
