id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/miskai/apskaita,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,apskaita,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,Spinta:210,,
,,,,,,,,,,,,,,
,,,,BendroPlotoPaskirst,,,zemes_misku_gr,,,3,,,Bendro žemės ploto pasiskirstymas pagal žemės naudmenas (ha),
,,,,,zemes_misku_gr,string,,zemes_misku_gr,,3,,,,
,,,,,bendras_plotas,number,ha,bendras_plotas,,4,open,,Bendras žemės plotas,
,,,,,misko_zeme,number,ha,misko_zeme,,4,open,,Miško žemė,
,,,,,viso_zem_uk_naudm,number,ha,viso_zem_uk_naudm,,4,open,,Žemės ūkio naudmenos. Iš viso,
,,,,,ariama,number,ha,ariama,,4,open,,Žemės ūkio naudmenos. Iš jų - ariama,
,,,,,sodai,number,ha,sodai,,4,open,,Žemės ūkio naudmenos. Iš jų - sodai,
,,,,,pievos_ganykl,number,ha,pievos_ganykl,,4,open,,Žemės ūkio naudmenos. Iš jų - pievos ir ganyklos,
,,,,,viso_keliai,number,ha,viso_keliai,,4,open,,Keliai. Iš viso,
,,,,,bendro_naud_keliai,number,ha,bendro_naud_keliai,,4,open,,Keliai. Iš jų - bendro naudojimo,
,,,,,uzstatyta_terit,number,ha,uzstatyta_terit,,4,open,,Užstatyta teritorija,
,,,,,vandenys,number,ha,vandenys,,4,open,,Vandenys,
,,,,,viso_kita_zem,number,ha,viso_kita_zem,,4,open,,Kita žemė. Iš viso,
,,,,,krumai,number,ha,krumai,,4,open,,Kita žemė. Iš jos - krūmai,
,,,,,pelkes,number,ha,pelkes,,4,open,,Kita žemė. Iš jos - pelkės,
,,,,,pazeista_zeme,number,ha,pazeista_zeme,,4,open,,Kita žemė. Iš jos - pažeista žemė,
,,,,,nenaudojama_zeme,number,ha,nenaudojama_zeme,,4,open,,Kita žemė. Iš jos - nenaudojama žemė,
,,,,,nusausinta_zeme,number,ha,nusausinta_zeme,,4,open,,Nusausinta žemė,
,,,,,,,,,,,,,,
,,,,MiskoZemesPaskirst,,,misku_gr_kateg,,,3,,,Miško žemės pasiskirstymas pagal žemės naudmenas (ha),
,,,,,misku_gr_kateg,string,,misku_gr_kateg,,3,open,,Miškų grupės ir kategorijos,
,,,,,bendras_misko_zem_plotas,number,ha,bendras_misko_zem_plotas,,4,open,,Bendras miško žemės plotas,
,,,,,viso_apaugusi_misku,number,ha,viso_apaugusi_misku,,4,open,,Apaugusi mišku. Iš viso,
,,,,,zeldiniai,number,ha,zeldiniai,,4,open,,Apaugusi mišku. Iš jos želdiniai,
,,,,,viso_neapaugusi_misku,number,ha,viso_neapaugusi_misku,,4,open,,Neapaugusi mišku. Iš viso,
,,,,,kirtavietes,number,ha,kirtavietes,,4,open,,Neapaugusi mišku. Iš jos - kirtavietės,
