id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/miskai/leidimai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,TMKPadalinys,,,,,,4,,,Teritoriniai miškų kontrolės padaliniai,
,,,,,pavadinimas,string,,,,3,open,,Poskyris,Teritorinis miškų kontrolės poskyris
,,,,,,,,,,,,,,
,,,,UkPriemGrupe,,,,,,4,,,Ūkinių priemonių grupės,
,,,,,kategorija,string,,,,4,open,,Kirtimo kategorija,
,,,,,,enum,,,"""Pagrindiniai kirtimai""",,,,,
,,,,,,,,,"""Tarpiniai kirtimai""",,,,,
,,,,,,,,,"""Kiti kirtimai""",,,,,
,,,,,,,,,"""Miško atkūrimas""",,,,,
,,,,,,,,,"""Dirvos gerinimo priemonės""",,,,,
,,,,,,,,,"""Įrenginiai ir jų priežiūra""",,,,,
,,,,,,,,,,,,,,
,,,,STRUKPadalinys,,,,,,4,,,Struktūriniai padaliniai,
,,,,,pavadinimas,string,,,,3,open,,Poskyris,Teritorinio miškų kontrolės poskyrio pavadinimas
,,,,,tmkp,ref,TMKPadalinys,,,4,open,,,
,,,,,,,,,,,,,,
,,,,UkinePriemone,,,,,,4,,,Ūkinės priemonės,
,,,,,upgr,ref,UkPriemGrupe,,,4,open,,,
,,,,,rusis,string,,,,3,open,,Kirtimo rūšis,
,,,,,,,,,,,,,,
,,,,Uredija,,,,,,4,,,Urėdijos,
,,,,,uredijos_pav,string,,,,3,open,,Urėdija,
,,,,,,,,,,,,,,
,,,,UrGir,,,,,,4,,,Girininkijos,
,,,,,mu,ref,Uredija,,,4,open,,,
,,,,,girininkijos_pav,string,,,,3,open,,Girininkija,
,,,,,,,,,,,,,,
,,,,Leidimas,,,,,,4,,,Leidimai kirsti mišką,
,,,,,numeris,number,,,,3,open,,Leidimo numeris,Suteikto leidimo numeris
,,,,,serija,string,,,,3,open,,Leidimo serija,Suteikto leidimo serija
,,,,,tipas,string,,,,4,open,,Leidimo tipas,Suteikto leidimo tipas
,,,,,,enum,,,"""Leidimas""",,,,Leidimas kirsti mišką,
,,,,,,,,,"""Pranešimas""",,,,Pranešimas apie ketinimą kirsti mišką,
,,,,,kad_sklypo_nr,number,,,,3,open,,Kadastrinio sklypo nr.,
,,,,,mu,ref,Uredija,,,4,open,,,
,,,,,ur_gir,ref,UrGir,,,4,open,,,
,,,,,strukp,ref,STRUKPadalinys,,,4,open,,,
,,,,,,,,,,,,,,
,,,,LeidSklypas,,,,,,4,,,"Sklypai, kuriems išduotas leidimas",
,,,,,leidimas,ref,Leidimas,,,4,open,,,
,,,,,kvartalo_nr,integer,,,,3,open,,Kvartalas,Miško kvartalo numeris(-iai)
,,,,,sklypo_nr,string,,,,3,open,,Sklypas,Sklypo numeris(-iai)
,,,,,sklypo_dal,string,,,,3,open,,Sklypo dalis,
,,,,,,,,,,,,,,
,,,,PasikLeidimas,,,,,,4,,,Išduoti leidimai,
,,,,,leidimas,ref,Leidimas,,,4,open,,,
,,,,,prat_data,datetime,D,,,4,open,,Leidimo išdavimo/pratęsimo data,
,,,,,,,,,,,,,,
,,,,PasikSklypas,,,,,,4,,,Išduotų leidimų sklypai,
,,,,,l_sklypas,ref,LeidSklypas,,,4,open,,,
,,,,,skl_plotas,number,ha,,,4,open,,Plotas,Miško plotas (ha)
,,,,,up,ref,UkinePriemone,,,4,open,,,
