id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/mita/prekiu_paslaugos,,,,,,,,,,,,"Mokslo, inovacijų ir technologijų agentūros duomenų bazėse registruotų žinioms imlių produktų duomenys.",
,,,,,,,,,,,,,,
,,,,PrekePaslauga,,,,,,3,,,,
,,,,,produktas,string,,,,3,open,,Produkto pavadinimas,
,,,,,savininkas,string,,,,2,open,,Juridinio asmens pavadinimas,
,,,,,,comment,type,,"create(property: ""savininkas"", type: ""ref"", ref: ""/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")",4,,,,
,,,,,,comment,property,,"update(property: ""savininkas.ja_pavadinimas"", type: """")",2,,spinta:216,,
,,,,,jar_kodas,string,,,,2,open,,Juridinio asmens kodas,
,,,,,,comment,type,,"update(property: ""savininkas.ja_kodas"", type: """")",4,open,spinta:216,,
,,,,,aprasymas,string,,,,2,open,,Produkto aprašymas,
,,,,,nuoroda,url,,,,4,open,,URL nuoroda į detalų produkto aprašymą,
