id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/mml/slis,,,,,,,,,,,,Laboratorinių tyrimų duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Tyrimas,,,vda_id,,,4,,,Laboratorinių tyrimų duomenys,"Mykolo Marcinkevičiaus ligoninės sLIS sistema kaupia duomenis apie Mykolo Marcinkevičiaus ligoinėje įvykdytus laboratorinius tyrimus pacientams. Duomenys kaupiami nuo 2021 m. ir atnaujinami iki šiol. Duomenų rinkinyje kaupiami duomenys apima paciento identifikatorių, gimimo metus, lytį, tyrimo identifikatorių, pavadinimą bei validacijos datą, tyrimo analičių identifikatorius, pavadinimus, originalų rezultatų stulpelį su dviem papildomais, į kuriuos atitinkamai išskirstyti tyrimų semantiniai vertinimai ir skaitiniai rezultatai, rezultatų normų rėžius ir matavimo vienetus. Tyrimo analitė - tai vienas iš matuojamų sudedamųjų veiksnių atliekamam laboratoriniui tyrimui.   "
,,,,,vda_id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,paciento_id,string,,,,4,open,,Identifikatorius,
,,,,,gimimo_metai,date,Y,,,4,open,,Gimimo data metų tikslumu,
,,,,,lytis,string,,,,4,open,,Paciento lytis,
,,,,,,enum,,,,,,,,
,,,,,,,,V,Vyras,,,,Vyras,
,,,,,,,,M,Moteris,,,,Moteris,
,,,,,,,,N,Nežinoma,,,,Nežinoma,
,,,,,tyrimo_id,string,,,,4,open,,Tyrimo identifikatorius,
,,,,,tyrimo_pav,string,,,,4,open,,Tyrimo pavadinimas,
,,,,,tyrimo_val_data,datetime,S,,,4,open,,Tyrimo validacijos data ir laikas sekundžių tikslumu,
,,,,,tyrimo_analites_id,string,,,,4,open,,Tyrimo analitės identifikatorius,
,,,,,tyrimo_analites_pav,string,,,,4,open,,Tyrimo analitės pavadinimas,
,,,,,tyrimo_analites_rez_orig,string,,,,4,open,,Tyrimo analitės rezultatų originalus stulpelis,
,,,,,tyrimo_analites_tekst_rez_parsed,string,,,,4,open,,Tyrimo analitės išskirti semantiniai vertinimai,
,,,,,tyrimo_analites_skait_rez_parsed,number,,,,4,open,,Tyrimo analitės išskirti skaitiniai rezultatai,
,,,,,tyrimo_analites_norma_nuo,number,,,,4,open,,Tyrimo analinės rezultato mažiausia normali reikšmė,
,,,,,tyrimo_analites_norma_iki,number,,,,4,open,,Tyrimo analinės rezultato didžiausia normali reikšmė,
,,,,,tyrimo_analites_vnt,string,,,,4,open,,Tyrimo analitės rezultato matavimo vienetas,
