id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/muitine/ata_knygeles_lakstai,,,,,,,,,,,,ATA knygelės lakštai,Informacija apie muitinės postuose  registruojamus ATA knygelių lakštus
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Lakstas,,,laksto_id,,,4,,,ATA knygelės lakštai,Informacija apie muitinės postuose  registruojamus ATA knygelių lakštus
,,,,,laksto_id,string,,,,4,open,,ATA knygelės lakšto identifikatorius,
,,,,,laksto_tipas,string,,,,4,open,,ATA knygelės lakšto tipas,
,,,,,,enum,,,"""IMPORTAS""",,,,,
,,,,,,,,,"""REEKSPORTAS""",,,,,
,,,,,,,,,"""EKSPORTAS""",,,,,
,,,,,,,,,"""REIMPORTAS""",,,,,
,,,,,,,,,"""TRANZITAS""",,,,,
,,,,,laksto_galiojimo_data,date,D,,,4,open,,ATA knygelės lakšto galiojimo pabaigos data,
,,,,,laksto_registracijos_data,date,D,,,4,open,,ATA knygelės lakšto registracijos data,
,,,,,knygeles_id,string,,,,4,open,,ATA knygelės identifikatorius,
,,,,,knygeles_numeris,string,,,,4,open,,ATA knygelės numeris,
,,,,,knygeles_galiojimo_data,date,D,,,4,open,,ATA knygelės galiojimo pabaigos data,
,,,,,asociacija_isdavusi_knygele,string,,,,4,open,,Asociacija išdavusi ATA knygelę,
,,,,,asociacijos_salis,string,,,,4,open,,"Šalis, kurioje įsisteigusi asociacija",
,,,,,knygeles_pastabos,string,,,,4,open,,Pastabos apie knygelę,
,,,,,,enum,,,"""ATA knygelės dublikatas""",,,,,
,,,,,,,,,"""Asociacijos išduota papildoma ATA knygelė""",,,,,
,,,,,,,,,"""Asociacijos išduota antrinė (pakaitinė) ATA knygelė""",,,,,
