id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/muitine/gyvunu_tikrinimai,,,,,,,,,,,,Gyvūnų tikrinimas muitinėje,"Nekomerciniais tikslais vežamų gyvūnų augintinių (šunų, kačių, šeškų) tikrinimų muitinėje registras"
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Tikrinimas,,,vda_prime_key,,,4,,,Gyvūnų tikrinimas muitinėje,"Nekomerciniais tikslais vežamų gyvūnų augintinių (šunų, kačių, šeškų) tikrinimų muitinėje registras"
,,,,,vda_prime_key,string,,,,4,open,,Eilutės įrašo identifikatorius,
,,,,,registro_iraso_id,string,,,,4,open,,Registro įrašo identifikatorius,
,,,,,isvykimo_salis,string,,,,4,open,,Gyvūno išvykimo šalis,
,,,,,paskirties_salis,string,,,,4,open,,Gyvūno paskirties šalis,
,,,,,ivezimo_data,datetime,,,,4,open,,Gyvūno įvežimo data,
,,,,,iveze_savininkas,boolean,,,,4,open,,Požymis ar įvežė savininkas,
,,,,,muitines_posto_kodas,string,,,,4,open,,"Muitinės postas, per kurį vežamas gyvunas",
,,,,,teritorines_muitines_kodas,string,,,,4,open,,Teritorinės muitinės kodas,
,,,,,,enum,,,"""VM00""",,,,,
,,,,,,,,,"""KM00""",,,,,
,,,,,,,,,"""LM00""",,,,,
,,,,,gyvuno_rusis,string,,,,4,open,,Įvežamo gyvūno rūšis,
,,,,,zymes_numeris,string,,,,4,open,,Gyvūno žymės numeris,
,,,,,zymes_tipas,string,,,,4,open,,Gyvūno žymės tipas,
,,,,,,enum,,,"""Mikroschema""",,,,,
,,,,,,,,,"""Tatuiruote""",,,,,
,,,,,gyvuno_dokumentas,string,,,,4,open,,Gyvūno dokumentas,
,,,,,,enum,,,"""Gyvūno augintinio pasas""",,,,,
,,,,,,,,,"""Veterinarijos sertifikatas""",,,,,
,,,,,gyvuno_dokumento_numeris,string,,,,4,open,,Gyvūno dokumento numeris,
,,,,,muitines_sprendimas,string,,,,4,open,,"Muitinės sprendimas, jei gyvūnas neatitinka pervežimo kriterijų",
,,,,,,enum,,,"""Grąžinti į trečią šalį""",,,,,
,,,,,,,,,"""Karantinuoti""",,,,,
,,,,,ar_dalyvauja_renginyje,boolean,,,,4,open,,"Požymis, ar gyvūnas dalyvauja renginyje",
,,,,,renginio_miestas,string,,,,4,open,,Gyvūnų renginio miestas,
,,,,,renginio_salis,string,,,,4,open,,Gyvūnų renginio šalis,
