id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/muitine/leidimu_duomenys,,,,,,,,,,,,Muitinės leidimų sistemos leidimų ir prašymų duomenys,"Leidimų sistemos duomenys aprašo kelią nuo prašymo pateikimo iki leidimo išdavimo ir galiojimo. Jie parodo, kas kreipėsi, kokio leidimo prašoma, kokia yra nagrinėjimo būsena ir kada leidimas galioja. Prie kiekvieno prašymo ir leidimo gali būti pridėtos papildomos detalės (lankstūs laukeliai), nes skirtingiems leidimų tipams reikia skirtingos informacijos. Šis rinkinys padeda aiškiai matyti, kiek ir kokių leidimų išduota bei kokioje stadijoje yra prašymai."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Leidimas,,,vda_prime_key,,,4,,,Leidimai,"Duomenys apie suteiktą teisę atlikti tam tikrą veiklą ar naudotis lengvata. Čia matoma, kam išduota, koks tipas, kokia būsena ir nuo kada iki kada galioja."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,leid_aun,string,string,,,,4,open,,Leidimo registracijos numeris (AUN),
,,,,,leid_asm_ident_nr,string,,,,4,open,,Leidimo turėtojo kodas,
,,,,,leid_asm_tipas,string,,,,4,open,,Leidimo turėtojo kodo rūšis,
,,,,,leid_isdav_ist_kod,string,,,,4,open,,Leidimą išdavusios muitinės įstaigos kodas,
,,,,,leid_tipo_kod,string,,,,4,open,,Leidimo rūšies kodas,
,,,,,leid_pavadinimas,string,,,,4,open,,Leidimo rūšies pavadinimas,
,,,,,leid_versijos_nr,integer,,,,4,open,,Leidimo versijos numeris,
,,,,,leid_busenos_kod,string,,,,4,open,,Leidimo būsenos kodas,
,,,,,leid_busena,string,,,,4,open,,Leidimo būsena,
,,,,,leid_isdavimo_data,date,D,,,4,open,,Leidimo išdavimo data,
,,,,,leid_galiojimo_data_nuo,date,D,,,4,open,,Leidimo galiojimo data nuo,
,,,,,leid_galiojimo_data_iki,date,D,,,4,open,,Leidimo galiojimo data iki,
,,,,,,,,,,,,,,
,,,,LeidimoDuomuo,,,vda_prime_key,,,,,,Leidimų duomenys,"Papildomos leidimo detalės eilutėmis (po vieną detalę per eilutę). Čia telpa įvairios sąlygos, pastabos ar kiti specifiniai laukeliai, kurių prireikia tik kai kuriems leidimų tipams."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,spec_aun,string,,,,4,open,,Leidimo registracijos numeris (AUN),
,,,,,spec_tipo_kod,string,,,,4,open,,Leidimo rūšies kodas,
,,,,,leid_pavadinimas,string,,,,4,open,,Leidimo rūšies pavadinimas,
,,,,,spec_isdavimo_data,date,D,,,4,open,,Leidimo išdavimo data,
,,,,,leid_busenos_kod,string,,,,4,open,,Leidimo būsenos kodas,
,,,,,leid_busena,string,,,,4,open,,Leidimo būsena,
,,,,,spec_elem_pav,string,,,,4,open,,Specifinio duomenų elemento pavadinimas,
,,,,,spec_elem_reiks,string,,,,4,open,,Specifinio duomenų elemento reikšmė,
,,,,,,,,,,,,,,
,,,,Prasymas,,,vda_prime_key,,,,,,Prašymai,"Pateiktas prašymas gauti leidimą. Matosi, kas kreipėsi, ko prašo, kokia prašymo būsena (pateiktas, nagrinėjamas, patvirtintas ar atmestas) ir kada jis sukurtas."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,pras_lrn,string,,,,4,open,,Pareiškėjo prašymui suteiktas unikalus numeris (LRN),
,,,,,pras_arn,string,,,,4,open,,Prašymo registracijos numeris (ARN),
,,,,,pras_aun_ref,string,,,,4,open,,Leidimo registracijos numeris (AUN),
,,,,,pras_asm_ident_nr,string,,,,4,open,,Pareiškėjo kodas,
,,,,,pras_asm_tipas,string,,,,4,open,,Pareiškėjo kodo rūšis,
,,,,,pras_nagr_ist,string,,,,4,open,,Prašymą nagrinėjančios muitinės įstaigos kodas,
,,,,,pras_tipo_kod,string,,,,4,open,,Prašymo rūšies kodas,
,,,,,pras_pavadinimas,string,,,,4,open,,Prašymo rūšies pavadinimas,
,,,,,pras_busenos_kod,string,,,,4,open,,Prašymo būsenos kodas,
,,,,,pras_busena,string,,,,4,open,,Prašymo būsena,
,,,,,pras_sukurimo_data,date,D,,,4,open,,Prašymo sukūrimo data,
,,,,,,,,,,,,,,
,,,,PrasymoDuomuo,,,vda_prime_key,,,,,,Prašymų duomenys,"Papildomos prašymo detalės eilutėmis. Čia fiksuojami konkretūs prašymo priedai, pastabos ar kiti duomenys, kurie padeda įvertinti prašymą ir gali skirtis pagal situaciją."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,spec_arn,string,,,,4,open,,Prašymo registracijos numeris (ARN),
,,,,,spec_lrn,string,,,,4,open,,Pareiškėjo prašymui suteiktas unikalus numeris (LRN),
,,,,,spec_tipo_kod,string,,,,4,open,,Prašymo rūšies kodas,
,,,,,pras_pavadinimas,string,,,,4,open,,Prašymo rūšies pavadinimas,
,,,,,spec_sukurimo_data,date,D,,,4,open,,Prašymo sukūrimo data,
,,,,,pras_busenos_kod,string,,,,4,open,,Prašymo būsenos kodas,
,,,,,pras_busena,string,,,,4,open,,Prašymo būsena,
,,,,,spec_elem_pav,string,,,,4,open,,Specifinio duomenų elemento pavadinimas,
,,,,,spec_elem_reiks,string,,,,4,open,,Specifinio duomenų elemento reikšmė,
