id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/muitine/sandeliai,,,,,,,,,,,,,
,,2LT,,,,xml,,https://www.lrmuitine.lt/mport/other_files/AtviriDuom_klasifikatoriai/2LT.xml,,,,,,
,,,,Metadata,,,id,/ReferenceData,,,,,,
,,,,,id,string,,@id,,4,open,,Rinkinio identifikacinis numeris,
,,,,,item_type,string,,@itemType,,3,open,,Rinkinio tipas,
,,,,,item_code_type,string,,@itemCodeType,,3,open,,Įrašo kodo tipas,
,,,,,last_change,date,10D,@lastChange,,4,open,,Paskutinio rinkinio duomenų keitimo data,
,,,,,xmlns_ns,string,,@xmlns:ns,,3,open,,XSD schemos aprašo nuoroda,
,,,,NameAndDescription,,,id,/ReferenceData/NameAndDescription,,,,,,
,,,,,id,string,,@id,,4,open,,Rinkinio identifikacinis numeris,
,,,,,metadata,ref,Metadata,../@id,,4,open,,Nuoroda į tėvinį elementą,
,,,,,language_code,string,,@languageCode,,3,open,,Kalbos kodas,2 simbolių šalies kodas
,,,,,name,string,,@name,,3,open,,Sąrašo pavadinimas,
,,,,Warehouses,,,"reference_number, valid_from",/ReferenceData/Location,,,,,,
,,,,,id,string,,@id,,4,open,,Rinkinio identifikacinis numeris,
,,,,,metadata,ref,Metadata,../@id,,4,open,,Nuoroda į tėvinį elementą,
,,,,,reference_number,string,,@referenceNumber,,3,open,,Muitinės sandėlio kodas,
,,,,,name,string,,@name,,3,open,,Sandėlio pavadinimas,
,,,,,street_and_number,string,,@streetAndNumber,,3,open,,Adresas ir namo numeris,
,,,,,postal_code,string,,@postalCode,,3,open,,Pašto kodas,
,,,,,city,string,,@city,,3,open,,Miestas,
,,,,,country_code,string,,@countryCode,,3,open,,Šalies kodas,2 simbolių šalies kodas
,,,,,valid_from,date,10D,@validFrom,,4,open,,Galiojimo pradžios data,
,,,,,valid_to,date,10D,@validTo,,4,open,,Galiojimo pabaigos data,
