id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ndnt/spec_poreikiai,,,,,,,,,,,,Asmenų specialiųjų poreikių duomenys,
,,,,,,,,,,,,,,
,,aspd,,,,csv,,https://data.gov.lt/dataset/1820/download/14178/Asmen%C5%B3_speciali%C5%B3j%C5%B3_poreiki%C5%B3_duomenys.csv,,,,,,
,,,,SpecPoreikis,,,"gimimo metai, tlk10am",,,3,,,Asmenų specialieji poreikiai,
,,,,,spec_poreikiai,string,,Spec. poreikiai,,4,open,,Spec. poreikiai,
,,,,,reg_data,date,D,Registracijos data,,4,open,,Registracijos data,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,Savivaldybė,,3,open,,Savivaldybė,
,,,,,lytis,string,,Lytis,,4,open,,Lytis,
,,,,,,enum,,,"""v""",,,,Vyras,
,,,,,,,,,"""m""",,,,Moteris,
,,,,,gimimo_metai,date,D,Gimimo metai,,4,open,,Gimimo metai,
,,,,,galiojimo_data_nuo,date,D,Galiojimo data nuo,,4,open,,Galiojimo data nuo,
,,,,,galiojimo_data_iki,date,D,Galiojimo data iki,,4,open,,Galiojimo data iki,
,,,,,terminas,string,,Terminas,,3,open,,Terminas,
,,,,,tlk10am,ref,/datasets/gov/vlk/tlk10am/Tlk10am[code],TLK-10-AM,,3,open,,Ligos kodas,
