id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/buveines,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,BuveiniuIssaugojimas,,,,,,4,,,"Lietuvos kaimo plėtros programos 2014-2020 priemonė ""Meldinės nendrinukės buveinių išsaugojimas"" bendra informacija",
,,,,,priemone,string,,,,4,open,,Priemonė,
,,,,,veiklos_sritis,string,,,,4,open,,Veiklos sritis,
,,,,,pareiskejo_tipas,string,,,,4,open,,Pareiškėjo tipas ,
,,,,,,enum,,,"""Fizinis""",,,,Fizinis asmuo,
,,,,,,,,,"""Juridinis""",,,,Juridinis asmuo,
,,,,,pareiskejo_lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,paraiskos_gavimo_data,date,D,,,4,open,,Paraiškos gavimo data,
,,,,,projekto_igyvendinimo_vieta,string,,,,2,open,,Projekto įgyvendinimo vieta,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,,,	
,,,,,prasoma_paramos_suma,number,,,,2,open,,Prašoma paramos suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,bylos_etapas,string,,,,4,open,,Bylos etapas,
,,,,,,enum,,,"""Išregistravimas""",,,,Išregistravimas,
,,,,,,,,,"""Atmetimas""",,,,Atmetimas,
,,,,,,,,,"""Paramos administravimas""",,,,Paramos administravimas,
,,,,,sutarties_pasirasymo_data,date,D,,,4,open,,Sutarties pasirašymo data,
,,,,,skirta_paramos_suma,number,,,,2,open,,Skirta pasirašymo suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,es_paramos_dalis,number,,,,2,open,,ES paramos dalis,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,lt_paramos_dalis,number,,,,2,open,,LT paramos dalis ,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,ismoketa_paramos_suma,number,,,,2,open,,Išmokėta paramos suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,sankciju_suma,number,,,,2,open,,Sankscijų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,projekto_pradzia,date,D,,,4,open,,Projekto pradžia,
,,,,,projekto_pabaiga,date,D,,,4,open,,Projekto pabaiga ,
,,,,,projekto_isip_pabaigos_data,date,D,,,4,open,,Projekto įsipareigojimų pabaigos data,
,,,,,paraiskos_nutr_data,date,D,,,4,open,,Paraiškos nutraukimo data,
,,,,,kvietimo_pradzia,date,D,,,4,open,,Kvietimo pradžia,
,,,,,kvietimo_pabaiga,date,D,,,4,open,,Kvietimo pabaiga,
