id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/eko_paseliai_2015,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,EkoPaseliai2015,,,,,,3,,,"Lietuvos kaimo plėtros programos 2014-2020 priemonė ""Ekologinis ūkininkavimas"", pasėliai, 2015 m.",
,,,,,pareiskejo_tipas,string,,,,4,open,,Pareiškėjo tipas,
,,,,,,enum,,,'Fizinis',,,,Fizinis asmuo,
,,,,,,,,,'Juridinis',,,,Juridinis asmuo,
,,,,,pareiskejo_lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,'V',,,,Vyras,
,,,,,,,,,'M',,,,Moteris,
,,,,,paraiskos_pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybė ,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,,,
,,,,,programa,string,,,,3,open,,Programa,
,,,,,deklaruoti_hektarai,number,ha,,,4,open,,Deklaruoti hektarai pagal programą,
,,,,,patvirtinti_hektarai,number,ha,,,4,open,,Patvirtinti hektarai pagal programą,
,,,,,paselio_rusis,string,,,,3,open,,Pasėlio rūšis,
,,,,,deklaruotas_plotas,number,ha,,,4,open,,Deklaruotas plotas pagal pasėlį,
,,,,,pareiskejas,string,,,,4,open,,Pareiškėjas,
