id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/konsultavimo_paslaugos,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,KonsultavimoPaslaugos,,,,,,,,,"Strateginio plano Kaimo plėtros programos priemonė ""Konsultavimo paslaugos"". Bendra informacija.",Konsultavimo paslaugos (25PK1). Bendra informacija
,,,,,savivaldybe,string,,,,2,open,,Projekto įgyvendinimo vieta (savivaldybės lygiu),
,,,,,priemones_pavadinimas,string,,,,3,open,,Priemonės pavadinimas,
,,,,,pareiskejo_lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,'V',,,,Vyras,
,,,,,,,,,'M',,,,Moteris,
,,,,,pareiskejo_tipas,string,,,,4,open,,Pareiškėjo tipas,
,,,,,,enum,,,'Fizinis',,,,Fizinis asmuo,
,,,,,,,,,'Juridinis',,,,Juridinis asmuo,
,,,,,sprendimo_data,date,D,,,,open,,Sprendimo skirti paramą data,
,,,,,bylos_etapas,string,,,,3,open,,Bylos etapas,
,,,,,paraiskos_nutraukimo_data,date,D,,,4,open,,Paraiškos nutraukimo data,
,,,,,paraiskos_gavimo_data,date,D,,,4,open,,Paraiškos gavimo data,
,,,,,es_paramos_dalis,number,,,,,open,,"Paramos sumos ES dalis, Eur",
,,,,,lt_paramos_dalis,number,,,,,open,,"Paramos sumos LT dalis, Eur",
,,,,,konsultacijos_data,date,D,,,4,open,,Pareiškėjo konsultacijos data,
,,,,,kvietimo_pradzios_data,date,D,,,4,open,,Kvietimo pabaiga,
,,,,,kvietimo_pabaigos_data,date,D,,,4,open,,Kvietimo pradžia,
,,,,,skirta_suma,number,,,,,open,,"Skirta paramos suma, Eur",
,,,,,prasoma_suma,number,,,,,open,,"Prašoma paramos suma, Eur",
,,,,,veiklos_sritis,string,,,,,open,,Veiklos sritis,
