id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/misko_veisimas_sudetis,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,MiskoVeisimas,,,,,,3,,,"Lietuvos kaimo plėtros programos 2014-2020 priemonė ""Miško veisimas"" - miško sudėtis",
,,,,,programa,string,,,,3,open,,Priemonės pavadinimas,
,,,,,veiklos_sritis,string,,,,3,open,,Veiklos sritis,
,,,,,pareiskejo_tipas,string,,,,4,open,,Pareiškėjo tipas,
,,,,,,enum,,,"""Fizinis""",,,,Fizinis asmuo,
,,,,,,,,,"""Juridinis""",,,,Juridinis asmuo,
,,,,,pareiskejo_lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,paraiskos_pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,savivaldybe,string,,,,2,open,,Projekto įgyvendinimo vieta,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,,,
,,,,,medzio_rusis,string,,,,3,open,,Medžio rūšies pavadinimas,
,,,,,medziu_kiekis,number,U,,,4,open,,"Medžių kiekis, vnt.",
,,,,,bylos_numeris,string,,,,4,open,,Projektas,
