id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nma/ti_gyvuliai_2021,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,TIGyvuliai2021,,,,,,3,,,Tiesioginės ir kompensacinės išmokos už deklaruotos plotus ir (arba) gyvulius. Gyvulių rūšis. 2021 m.,
,,,,,pareiskejo_tipas,string,,,,4,open,,Pareiškėjo tipas,
,,,,,,enum,,,"""Fizinis""",,,,Fizinis asmuo,
,,,,,,,,,"""Juridinis""",,,,Juridinis asmuo,
,,,,,pareiskejo_lytis,string,,,,4,open,,Pareiškėjo lytis,
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,paraiskos_pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybė ,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",4,open,,,
,,,,,paramos_programa_gyvuliai,string,,,,3,open,,Gyvulių rūšis,
,,,,,deklaruoti_gyvuliai,number,U,,,4,open,,Deklaruotas gyvulių kiekis,
,,,,,faktiniai_gyvuliai,number,U,,,4,open,,Faktinis gyvulių kiekis,
,,,,,valda,string,,,,4,open,,Valda,
