id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nsa/mr/mokiniai_einamiesiems_mokslo_metams,,,,,,,,,,,,Mokiniai einamiesiems mokslo metams,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,MokinysmMetams,,,iraso_id,,,4,,,Mokiniai einamiesiems mokslo metams,"Lentelėje pateikta informacija apie einamųjų mokslo metų bendrojo, profesinio, ikimokyklinio, priešmokyklinio, neformalaus ugdymo mokinius iš Nacionalinės Švietimo agentūros (NŠA) Mokinių registro (MR). Šioje lentelėje matoma informacija tik tų mokinių, kurių mokymosi pradžios data yra lygi arba senesnė einamųjų mokslo metų pabaigos datai ir kurių mokymosi pabaigos data yra naujesnė arba lygi einamųjų mokslo metų pradžios datai arba yra tuščia, dar neįrašyta (galioja_nuo ? einamųjų mokslo metų pabaiga IR (galioja_iki ? einamųjų mokslo metų pradžia ARBA galioja_iki - neįrašyta, tuščia)). Pavyzdžiui, kai einamieji mokslo metai yra nuo 2023-09-01 iki 2024-08-31, lentelėje bus matomi įrašai tų mokinių, kurie pradėjo mokytis tam tikroje klasėje arba būrelyje no 2023-09-01 ir baigė mokytis 2024-06-01, tačiau nebus matomi įrašai tų mokinių, kurie pradėjo mokytis 2022-09-01 ir baigė mokytis 2023-06-01. Siekiant sustiprinti asmens duomenų apsaugą duomenys buvo triukšminti."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,asm_kodas,string,,,,4,open,,Šifruotas asmens kodo identifikatorius,
,,,,,vardas_pavarde,string,,,,4,open,,Šifruotas asmens vardo ir pavardės identifikatorius,
,,,,,gimimo_metai,date,Y,,,4,open,,Asmens gimimo metai,
,,,,,lytis,string,,,,4,open,,Asmens lytis,
,,,,,,enum,,,"""V""",,,,Vyras,
,,,,,,,,,"""M""",,,,Moteris,
,,,,,kilme,string,,,,4,open,,Asmens kilmė,
,,,,,,enum,,,"""Užsienio valstybė""",,,,Užsienio valstybė,
,,,,,,,,,"""Lietuvos Respublika""",,,,Lietuvos Respublika,
,,,,,inst_kodas,string,,,,4,open,,Institucijos juridinis asmens kodas,
,,,,,,comment,type,,"create(property: ""ja_kodas"", type: ""ref"", ref: ""datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")	",4,open,"spinta:205,manifest:1290",,
,,,,,inst_pavadinimas_lt,string,,,,4,open,,Institucijos arba individualią mokymo veiklą vykdančio asmens pavadinimas,
,,,,,,comment,type,,"update(property: ""inst_pavadinimas_lt@lt"", type: ""text"")",,,,,
,,,,,inst_tipas,string,,,,4,open,,Institucijos arba individualią mokymo veiklą vykdančio asmens tipas,
,,,,,inst_savivaldybe,string,,,,4,open,,Institucijos arba individualią mokymo veiklą vykdančio asmens savivaldybė,
,,,,,inst_apsk_pav,string,,,,4,open,,Institucijos arba individualią mokymo veiklą vykdančio asmens apskritis,
,,,,,mokymo_tipas,string,,,,4,open,,Mokymo tipas,
,,,,,mokymosi_organizavimo_budas,string,,,,4,open,,Mokymosi organizavimo būdas,
,,,,,mokomoji_kalba,string,,,,4,open,,Mokomoji kalba,
,,,,,klase_tipas,string,,,,4,open,,Klasės tipas,
,,,,,klase_pakopa_pav,string,,,,4,open,,Klasės pakopa,
,,,,,klase_nr,string,,,,4,open,,Klasės numeris,
,,,,,klases_paskirtis,string,,,,4,open,,Klasės paskirtis,
,,,,,irasas_galioja_nuo,date,D,,,4,open,,Įrašo galiojimo pradžios data,
,,,,,irasas_galioja_iki,date,D,,,4,open,,Įrašo galiojimo pabaigos data,
,,,,,einam_mokslo_metupradzia,date,D,,,4,open,,Einamųjų mokslo metų pradžios data,
,,,,,einam_mokslo_metupabaiga,date,D,,,4,open,,Einamųjų mokslo metų pabaigos data,
,,,,,duomenu_atnaujinimo_data,datetime,L,,,4,open,,Duomenų atnaujinimo data,
