id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nsa/svis/prevencines_programos,,,,,,,,,,,,Prevencini_ program_ vykdymas _vietimo _staigose,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,SveikatingumoUgdymas,,,vda_prime_key,,,4,,,"Sveikatos, lyti_kumo ugdymo ir rengimo _eimai bendrosios programos bei kenksming_ ir psichik_ veikian_i_ med_iag_ prevencijos programos vykdymas�_vietimo _staigose",Viena eilut_ atitinka programos _vykdym_ _vietimo _staigoje atitinkamais�mokslo metais.
,,,,,vda_prime_key,string,,,,4,open,,Unikalus pirminis raktas,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,padalinio_grupe,string,,,,4,open,,Padalinio grup_,
,,,,,padalinio_priklausomybe,string,,,,4,open,,Padalinio priklausomyb_,
,,,,,,enum,,,"""Savivaldyb_s""",,,,Savivaldyb_s,
,,,,,,,,,"""Nevalstybin_""",,,,Nevalstybin_,
,,,,,,,,,"""Valstybin_""",,,,Valstybin_,
,,,,,padalinio_savivaldybe,string,,,,4,open,,Padalinio savivaldyb_,
,,,,,padalinio_pavadinimas,string,,,,4,open,,Padalinio pavadinimas,
,,,,,padalinio_kodas,string,,,,4,open,,Padalinio kodas,
,,,,,programos_kodas,string,,,,4,open,,Programos kodas,
,,,,,programos_pavadinimas,string,,,,4,open,,Programos pavadinimas,
,,,,,integr_mok_dal,boolean,,,,4,open,,Programa integruojama _ mokom_j_ dalyk_ program_ turin_,
,,,,,spec_kurs_pasir,boolean,,,,4,open,,Yra _vestas specialus kursas kaip pasirenkamasis dalykas kuriai nors klasei,
,,,,,pap_ugd,boolean,,,,4,open,,Yra integruojama _ papildom_ ugdym_,
,,,,,neform_sviet,boolean,,,,4,open,,Yra integruojama _ neformaliojo _vietimo programas,
,,,,,klases_val,boolean,,,,4,open,,Yra integruojama _ klas_s valand_les,
,,,,,kitos_progr,boolean,,,,4,open,,Yra integruojama _ kitas programas,
,,,,,kitu_budu,boolean,,,,4,open,,Programa vykdoma kitu mokyklos pasirinktu b_du,
,,,,,,,,,,,,,,
,,,,PatyciuPrevencija,,,vda_prime_key,,,4,,,Smurto ir paty_i_ prevencijos program_ vykdymas _vietimo _staigose.,Viena eilut_ atitinka fakt_ ar programa buvo _vykdyta _vietimo _staigoje atitinkamais mokslo metais.
,,,,,vda_prime_key,string,,,,4,open,,Unikalus pirminis raktas,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,padalinio_grupe,string,,,,4,open,,Padalinio grup_,
,,,,,padalinio_priklausomybe,string,,,,4,open,,Padalinio priklausomyb_,
,,,,,,enum,,,"""Savivaldyb_s""",,,,Savivaldyb_s,
,,,,,,,,,"""Nevalstybin_""",,,,Nevalstybin_,
,,,,,,,,,"""Valstybin_""",,,,Valstybin_,
,,,,,padalinio_savivaldybe,string,,,,4,open,,Padalinio savivaldyb_,
,,,,,padalinio_pavadinimas,string,,,,4,open,,Padalinio pavadinimas,
,,,,,padalinio_kodas,string,,,,4,open,,Padalinio kodas,
,,,,,programos_kodas,string,,,,4,open,,Programos kodas,
,,,,,programos_pavadinimas,string,,,,4,open,,Prevencin_ programa,
,,,,,ar_igyvendinama,string,,,,4,open,,Ar programa buvo _gyvendinama J_s_ mokykloje (0 - Ne 1 - Taip 2- Vykd_ OPKUS (Galiojo iki 2024-2025 m.m)),
,,,,,,enum,,,"""Taip""",,,,Taip,
,,,,,,,,,"""Ne""",,,,Ne,
,,,,,,,,,"""Vykd_ OPKUS (Galioja iki 2024-2025)""",,,,Vykd_ OPKUS (Galioja iki 2024-2025)),
,,,,,parengtu_mokytoju,string,,,,4,open,,Pagal program_ parengt_ dirbti mokytoj_ skai_ius,
,,,,,parengtu_sp_specialistu,string,,,,4,open,,Pagal program_ parengt_ dirbti _vietimo pagalbos specialist_ skai_ius,
,,,,,vykdziusiu_mokytoju,string,,,,4,open,,Program_ vykd_iusi_ mokytoj_ skai_ius,
,,,,,vykdziusiu_sp_specialistu,string,,,,4,open,,Program_ vykd_iusi_ _vietimo pagalbos specialist_ skai_ius,
,,,,,dalyvavusiu_mokiniu,string,,,,4,open,,Programoje dalyvavusi_ mokini_ skai_ius,
,,,,,priezastys,boolean,,,,4,open,,Ar _i_ prevencin_ program_ mokykloje paskatino _sidiegti pasteb_tos situacijos ar i___kiai _gyvendinant Gyvenimo _g_d_i_ bendr_j_ program_ (0 - Ne 1 - Taip),
