id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ntakd/deklaracijos,,,,,,,,,,,,Narkotinių prekursorių deklaracijų duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Deklaracija,,,vda_prime_key,,,4,,,Narkotinių prekursorių deklaracijų duomenys,"Narkotikų, tabako ir alkoholio kontrolės departamento (NTAKD) naudojama Pirmtakų teisėtos apyvartos kontrolės informacinė sistema (PTAKIS) kaupia juridinių bei fizinių asmenų narkotinių pirmtakų (prekursorių) deklaracijas. Duomenys kaupiami nuo 2021-04-01 ir atnaujinami iki šiol. Duomenų rinkinys sudarytas iš pseudonimizuoto deklaravusio fizinio arba juridinio asmens (deklaranto) kodo, deklaranto asmens rūšies, ataskaitos formos, deklaruotos medžiagos pavadinimo, paskirties ir kiekių deklaracijos periodo pradžioje ir pabaigoje, deklaracijos periodo metų ir deklaracijos numerio tais metais. Vienas įrašas atitinka vieną deklaranto, medžiagos, deklaracijos metų ir periodo numerio kombinaciją. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,vda_prime_key,string,,,,4,open,,Unikalus identifikatorius,
,,,,,deklaranto_kodas,string,,,,4,open,,Deklaraciją pateikusio asmens pseudonimizuotas kodas,
,,,,,deklaranto_asmens_rusis,string,,,,4,open,,Deklaraciją pateikusio asmens rūšis,
,,,,,,enum,,,,,,,,
,,,,,,,,,"""Juridinis""",,,,LR juridinis asmuo,
,,,,,,,,,"""Fizinis""",,,,LR fizinis asmuo,
,,,,,,,,,"""Nežinoma""",,,,"Nei LR juridinis, nei LR fizinis asmuo",
,,,,,medziaga,string,,,,4,open,,Deklaruota medžiaga,
,,,,,ataskaitos_forma,string,,,,4,open,,Deklaracijos ataskaitos forma,
,,,,,paskirtis,string,,,,4,open,,Deklaruotos medžiagos paskirtis,
,,,,,kiekis_periodo_pradzioje,number,,,,4,open,,Medžiagos kiekis deklaracijos periodo pradžioje,
,,,,,kiekis_periodo_pabaigoje,number,,,,4,open,,Medžiagos kiekis deklaracijos periodo pabaigoje,
,,,,,mato_vienetas,string,,,,4,open,,Deklaruotos medžiagos matavimo vienetas,
,,,,,,enum,,,,,,,,
,,,,,,,,,"""kg""",,,,Kilogramai,
,,,,,,,,,"""l""",,,,Litrai,
,,,,,dekl_periodo_metai,integer,,,,4,open,,Deklaracijos periodo metai,
,,,,,dekl_periodo_nr,integer,,,,4,open,,Deklaracijos numeris esamais metais,
