id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ntb/pacientu_valios_pareiskimai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,ValiosPareiskimas,,,,,,4,,,,
,,,,,tipas,string,,,,4,open,,Paciento valios pareiškimo tipas,
,,,,,,enum,,consent,"""sutikimas""",,,,Sutikimas transplantacijai po mirties,
,,,,,,,,refusal,"""nesutikimas""",,,,Nesutikimas transplantacijai po mirties,
,,,,,uzpildymo_data,date,D,,,4,open,,Sutikimo užpildymo data,
,,,,,amziaus_grupe,string,,,,4,open,,Paciento amžiaus grupė,
,,,,,,enum,,,"""00-13""",,,,,
,,,,,,,,,"""14-17""",,,,,
,,,,,,,,,"""18-24""",,,,,
,,,,,,,,,"""25-29""",,,,,
,,,,,,,,,"""30-34""",,,,,
,,,,,,,,,"""35-39""",,,,,
,,,,,,,,,"""40-44""",,,,,
,,,,,,,,,"""45-49""",,,,,
,,,,,,,,,"""50-54""",,,,,
,,,,,,,,,"""55-59""",,,,,
,,,,,,,,,"""60-64""",,,,,
,,,,,,,,,"""65-69""",,,,,
,,,,,,,,,"""70+""",,,,,
,,,,,lytis,string,,,,4,open,,Paciento lytis,
,,,,,,enum,,,"""vyras""",,,,,
,,,,,,,,,"""moteris""",,,,,
,,,,,organo_pasirinkimo_tipas,string,,,,4,open,,Audinių ir organų pasirinkimo tipas,Nurodo ryšį su susietais įrašais ‘SutikimuPoMirtiesOrganai’ lentelėje
,,,,,,enum,,1,"""visi""",,,,Bet kurie audiniai ir organai,
,,,,,,,,2,"""tik_pasirinkti""",,,,Tik nurodyti audiniai ir / ar organai,
,,,,,,,,3,"""isskyrus_pasirinktus""",,,,Visi audiniai ir organai išskyrus,
,,,,,apskritis,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Paciento gyvenamosios vietos apskritis,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Paciento gyvenamosios vietos savivaldybė,
,,,,,,,,,,,,,,
,,,,ValiosPareiskimoOrganas,,,sutikimas,,,4,,,,
,,,,,sutikimas,ref,ValiosPareiskimas,,,4,open,,Susietas sutikimas,
,,,,,organas,ref,Organas,,,4,open,,Susietas audinys ar organas,
,,,,,,,,,,,,,,
,,,,Organas,,,,,,4,,,,
,,,,,grupe,string,,,,4,open,,Audinio ar organo grupė/pogrupis,
,,,,,pavadinimas,string,,,,4,open,,Pavadinimas,
