id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nvspl/aplinkos_tyrimai,,,,,,,,,,,,Nacionalinės visuomenės sveikatos priežiūros laboratorijos aplinkos tyrimų duomenys,"Duomenų rinkinyje pateikiami duomenys, susiję su Nacionalinės visuomenės sveikatos priežiūros laboratorijos vykdomais aplinkos mikrobiologiniais, cheminiais ir parazitologiniais tyrimais. Duomenys teikiami iš Aplinkos mikrobiologinių, cheminių, parazitologinių tyrimų duomenų bazės „Laputė“, skirtos sveikatos apsaugos srities stebėsenai ir analizei.
Rinkinyje pateikiama informacija apie tiriamus mėginius: jų identifikatorius, pavadinimus, paskirtį, mėginio kiekį bei taikomas laboratorines paslaugas. Lentelėje fiksuojami tyrimų rezultatai, įskaitant skaitines reikšmes, matavimo vienetus, rezultatų neapibrėžtumą ir taikomas normas, leidžiančias vertinti atitiktį sveikatos saugos reikalavimams. Taip pat pateikiama klasifikacinė informacija apie tyrimų rūšis, klases, grupes ir poskyrius, sudaranti prielaidas detalesnei duomenų analizei.
Duomenys apima mėginių paėmimo, pristatymo, laikymo ir tyrimo atlikimo laikus bei sąlygas, leidžiančias atsekti visą tyrimo procesą. Papildomi laukai, tokie kaip mėginio pristatymo temperatūra ar tyrimo kaina, suteikia galimybę analizuoti laboratorinių procesų kokybę, kaštus ir organizavimą. Šis duomenų rinkinys sudaro pagrindą aplinkos sveikatos rizikų vertinimui, visuomenės sveikatos būklės stebėsenai ir duomenimis grįstų sprendimų priėmimui.
Duomenų atnaujinimas numatomas kas 6 mėn.
Su duomenimis susijusiais klausimais prašome kreiptis el. paštu atverimas@stat.gov.lt
Dėl techninių portalo veiklos sutrikimų prašome kreiptis el. paštu atviriduomenys@vssa.lt"
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,AplinkosTyrimas,,,vda_prime_key,,,4,,,Nacionalinės visuomenės sveikatos priežiūros laboratorijos aplinkos tyrimų duomenys,"Duomenų rinkinyje pateikiami duomenys, susiję su Nacionalinės visuomenės sveikatos priežiūros laboratorijos vykdomais aplinkos mikrobiologiniais, cheminiais ir parazitologiniais tyrimais. Duomenys teikiami iš Aplinkos mikrobiologinių, cheminių, parazitologinių tyrimų duomenų bazės „Laputė“, skirtos sveikatos apsaugos srities stebėsenai ir analizei.
Rinkinyje pateikiama informacija apie tiriamus mėginius: jų identifikatorius, pavadinimus, paskirtį, mėginio kiekį bei taikomas laboratorines paslaugas. Lentelėje fiksuojami tyrimų rezultatai, įskaitant skaitines reikšmes, matavimo vienetus, rezultatų neapibrėžtumą ir taikomas normas, leidžiančias vertinti atitiktį sveikatos saugos reikalavimams. Taip pat pateikiama klasifikacinė informacija apie tyrimų rūšis, klases, grupes ir poskyrius, sudaranti prielaidas detalesnei duomenų analizei.
Duomenys apima mėginių paėmimo, pristatymo, laikymo ir tyrimo atlikimo laikus bei sąlygas, leidžiančias atsekti visą tyrimo procesą. Papildomi laukai, tokie kaip mėginio pristatymo temperatūra ar tyrimo kaina, suteikia galimybę analizuoti laboratorinių procesų kokybę, kaštus ir organizavimą. Šis duomenų rinkinys sudaro pagrindą aplinkos sveikatos rizikų vertinimui, visuomenės sveikatos būklės stebėsenai ir duomenimis grįstų sprendimų priėmimui.
Duomenų atnaujinimas numatomas kas 6 mėn.
Su duomenimis susijusiais klausimais prašome kreiptis el. paštu atverimas@stat.gov.lt
Dėl techninių portalo veiklos sutrikimų prašome kreiptis el. paštu atviriduomenys@vssa.lt"
,,,,,vda_prime_key,string,,,,4,open,,Priminis raktas,
,,,,,meg_id,string,,,,4,open,,"Unikalus mėginio ID, sudarytas iš įvykio datos/mėginio paėmimo datos, pagrindinio mėginio numerio, mėginio numerio ir mėginio eilės numerio. VDA sukurtas stulpelis",
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,
,,,,,meginio_pavadinimas,string,,,,2,open,,Mėginio pavadinimas,
,,,,,paskirtis,string,,,,2,open,,Paskirtis,
