id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nzt/matininkai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,MatininkoPazymejimas,,,nr,,,4,,,"Matininkai, geodezininkai ir žemėtvarkos planavimo dokumentų rengėjai",
,,,,,vardas_pavarde,string,,,,2,public,,"Matininko vardas, pavardė",Pateikta tik galiojantiems pažymėjimams
,,,,,isduotas,date,D,,,4,open,,Kvalifikacijos pažymėjimo išdavimo data,
,,,,,nr,string,,,,4,open,,Kvalifikacijos pažymėjimo numeris,
,,,,,pagrindas,string,,,,2,open,,Pažymėjimo išdavimo pagrindas,
,,,,,sustabdytas,date,D,,,4,open,,Pažymėjimo sustabdymo data,
,,,,,sust_pagrindas,string,,,,2,open,,Pažymėjimo sustabdymo pagrindas,
,,,,,sust_panaikintas,date,D,,,4,open,,Pažymėjimo sustabdymo panaikinimo data,
,,,,,sust_panaik_pagrindas,string,,,,2,open,,Pažymėjimo sustabdymo panaikinimo pagrindas,
,,,,,panaikintas,date,D,,,4,open,,Pažymėjimo galiojimo panaikinimo data,
,,,,,panaik_pagrindas,string,,,,2,open,,Pažymėjimo galiojimo panaikinimo pagrindas,
,,,,,galioja,boolean,,,,4,open,,Šiuo metu pažymėjimas galioja,
,,,,,tipas,string,,,,4,open,,Pažymėjimo tipas,
,,,,,,enum,,,"""M""",,,,Matininko,
,,,,,,,,,"""ME""",,,,Matininko eksperto,
,,,,,,,,,"""1GKV""",,,,Geodezininko,
,,,,,,,,,"""ŽS""",,,,žemėtvarkos schemų rengėjo,
,,,,,,,,,"""FP""",,,,žemės sklypų formavimo ir pertvarkymo projektų rengėjo,
,,,,,,,,,"""KP""",,,,kaimo plėtros žemėtvarkos projektų rengėjo,
,,,,,,,,,"""ŽK""",,,,žemės konsolidacijos projektų rengėjo,
,,,,,,,,,"""ŽR""",,,,žemės reformos žemėtvarkos projektų rengėjo,
,,,,,,,,,"""VP""",,,,žemės paėmimo visuomenės poreikiams projektų rengėjo,
,,,,,,,,,"""KI""",,,,suteikiantis teisę rengti karinės infrastruktūros projektus,
,,,,,ispetas,date,D,,,4,open,,Įspėjimo data,"Įspėjimo apie tai, kad nepašalinus pažeidimų pažymėjimo galiojimas bus sustabdytas, data"
,,,,,ispejimo_terminas,date,D,,,4,open,,Įspėjimo terminas,"Terminas, iki kada įspėjus turi būti pašalinti pažeidimai"
,,,,,pazeid_pasalinti,date,D,,,4,open,,Pažeidimų pašalinimo data,
,,,,,obj_iregistruotas,date,D,,,4,open,,Objekto įregistravimo data registre,
,,,,,obj_isregistruotas,date,D,,,4,open,,Objekto išregistravimo data registre,
