id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/nzt/paraiskos,,,,,,,,,,,,Paraiškų įsigyti privačius žemės ir miškų ūkio paskirties sklypus duomenys,"""Lentelėje pateikti Nacionalinės žemės tarnybos prie Aplinkos ministerijos išduotų sutikimų įsigyti žemės ir miškų ūkio paskirties sklypus duomenys. Rinkinys sudarytas Valstybės duomenų agentūros. Duomenys pateikiami nuo momento, kai paraiškos tampa aktualios tikrinimo procesui. Lentelės viena eilutė atitinka vieną paraišką. Atkreipiame dėmesį, kad duomenų eilutės yra nuolatos pildomos, o informacija jose yra tikslinama. Duomenys apima visoje Lietuvoje išsidėsčiusius juridinius bei fizinius asmenis. Duomenų laiko aprėptis – nuo 2022 m. sausio 1d. Duomenų teikėjas – Nacionalinės žemės tarnyba prie Aplinkos ministerijos. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Paraiska,,,paraiskos_id,,,4,,,,
,,,,,paraiskos_id,string,,,,4,open,,Paraiškos unikalus identifikatorius,
,,,,,sutarties_nr,string,,,,4,open,,Sutarties numeris,
,,,,,pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,prasymo_tipas,string,,,,4,open,,Paraiškos prašymo tipas,
,,,,,,enum,,,"""Įsigyti miškų ūkio paskirties žemę""",4,open,,,
,,,,,,,,,"""Įsigyti žemės ūkio paskirties žemę""",4,open,,,
,,,,,atstovavimas,string,,,,4,open,,Paraiškos naudos gavėjo atstovavimo statusas,
,,,,,teikejo_vardas,string,,,,4,open,,Paraiškos teikėjo pilnas vardas,
,,,,,gavejo_asmens_kodas,string,,,,4,open,,Žemės gavėjo asmens kodas,
,,,,,savivaldybe,string,,,,4,open,,Sklypo savivaldybė,
,,,,,prasytojo_tipas,string,,,,4,open,,Žemės gavėjo tipas,
,,,,,,enum,,,"""FA""",,,,Žemės gavėjas Fizinis Asmuo,
,,,,,,,,,"""Sutuoktiniai""",,,,Žemės gavėjai sutuoktiniai,
,,,,,,,,,"""JA""",,,,Žemės gavėjas juridinis Asmuo,
,,,,,,,,,"""SutuoktiniaiUzsienieciai""",,,,Žemės gavėjai sutuoktiniai užsieniečiai,
,,,,,,,,,"""Uzsienietis""",,,,Žemės gavėjas užsienietis fizinis asmuo,
,,,,,atsakingas_darbuotojas,string,,,,4,open,,Darbuotojas dirbantis su paraiška,
,,,,,sprendimo_data,date,D,,,4,open,,Paraiškos būsenos keitimo data,
,,,,,sprendimas,string,,,,4,open,,Paraiškos būsena,
,,,,,,enum,,,"""Suformuoti sutikimą""",,,,,
,,,,,,,,,"""Atmesti prašymą""",,,,,
,,,,,paslaugos_suma,money,EUR,,,4,open,,Paraiškos teikimo mokestis,Valstybės rinkliava kurios dydis yra nustatytas nutarimu Nr. 1458 'Dėl Konkrečių valstybės rinkliavos dydžių ir šios rinkliavos mokėjimo ir grąžinimo taisyklių patvirtinimo'
,,,,,operacijos_data,date,D,,,4,open,,Paraiškos teikimo mokesčio mokėjimo data,
,,,,,sutartiniai_gyvuliai,number,,,,4,open,,Sutartinių gyvulių (SG) skaičius,Skaičiuojamas pagal žemės ūkio ministro įsakymo Nr. 3D-246 priedą 'Dėl ūkinių gyvūnų perskaičiavimo į sutartinius gyvulius'
,,,,,bendras_prasytojo_valdomas_plotas,number,,,,4,open,,Bendras su susijusiais asmenimis prasytojo turimas žemės plotas hektarais,
,,,,,bendras_plotas_po_isigyjimo,number,,,,4,open,,Bendras su susijusiais asmenimis prasytojo turimas žemės plotas po žemės įsigijimo hektarais,
,,,,,isigyjamas_plotas,number,,,,4,open,,Įsigyjamas plotas hektarais,
