id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/on/statistika,,,,,,,,,,,,Oro Navigacijos skrydžių statistikos duomenys,"Rinkinyje pateikiami Lietuvos oro erdvėje vykusių skrydžių duomenys iš Oro Navigacijos skrydžių statistikos duomenų bazės. Nurodoma su skrydžiais susijusi informacija: skrydžio data, orlaivio tipas, skrydį operavęs oro vežėjas, išvykimo ir atvykimo laikai bei išvykimo ir atvykimo oro uostai. Turint klausimų apie duomenų rinkinį, prašome kreiptis į Valstybės duomenų valdysenos atvėrimo komandą elektroniniu paštu atverimas@stat.gov.lt."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Skrydis,,,vda_id,,,4,,,Oro Navigacijos skrydžių statistikos duomenys,"Rinkinyje pateikiami Lietuvos oro erdvėje vykusių skrydžių duomenys iš Oro Navigacijos skrydžių statistikos duomenų bazės. Nurodoma su skrydžiais susijusi informacija: skrydžio data, orlaivio tipas, skrydį operavęs oro vežėjas, išvykimo ir atvykimo laikai bei išvykimo ir atvykimo oro uostai. Turint klausimų apie duomenų rinkinį, prašome kreiptis į Valstybės duomenų valdysenos atvėrimo komandą elektroniniu paštu atverimas@stat.gov.lt."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,date,date,D,,,4,open,,Skrydžio data,
,,,,,acft_type,string,,,,4,open,,Orlaivio tipas,
,,,,,airline_abbr,string,,,,4,open,,Oro vežėjas (ICAO kodas),
,,,,,airline,string,,,,4,open,,Oro vežėjas,
,,,,,country,string,,,,4,open,,Oro vežėjo kilmės šalis,
,,,,,wtc,string,,,,4,open,,Orlaivio masės (valkčio turbulencijos kategorijos) faktorius.,
,,,,,,enum,,,"""M""",,,,"MEDIUM orlaiviai, kurių didžiausioji sertifikuotoji kilimo masė mažesnė nei 136 000 kg, bet didesnė nei 7 000 kg",
,,,,,,,,,"""J""",,,,"SUPER, orlaivio tipas, kuris toks nurodytas ICAO dokumento Nr.  643 „Orlaivių tipų kodai“ naujausioje redakcijoje",
,,,,,,,,,"""H""",,,,"HEAVY orlaiviai, kurių didžiausioji sertifikuotoji kilimo masė ne mažesnė nei 136 000 kg, išskyrus orlaivius, kurie ICAO dokumente Nr. 8643 išvardyti kategorijoje SUPER (J)",
,,,,,,,,,"""L""",,,,"LIGHT orlaiviai, kurių didžiausioji sertifikuotoji kilimo masė ne didesnė nei 7 000 kg.",
,,,,,dep_time,string,,,,4,open,,Orlaivio pakilimo laikas,
,,,,,dep_airport,string,,,,4,open,,Pakilimo oro uostas (ICAO kodas),
,,,,,dep_airport_name,string,,,,4,open,,Išvykimo oro uosto pavadinimas,
,,,,,dep_airport_location,string,,,,4,open,,Išvykimo oro uosto lokacija,
,,,,,dep_airport_city,string,,,,4,open,,Išvykimo oro uosto miestas,
,,,,,dep_airport_country,string,,,,4,open,,Išvykimo oro uosto šalis,
,,,,,dep_airport_region,string,,,,4,open,,Išvykimo oro uosto regionas,
,,,,,des_time,string,,,,4,open,,Orlaivio nusileidimo laikas,
,,,,,des_airport,string,,,,4,open,,Nusileidimo oro uostas (ICAO kodas),
,,,,,des_airport_name,string,,,,4,open,,Atvykimo oro uosto pavadinimas,
,,,,,des_airport_location,string,,,,4,open,,Atvykimo oro uosto lokacija,
,,,,,des_airport_city,string,,,,4,open,,Atvykimo oro uosto miestas,
,,,,,des_airport_country,string,,,,4,open,,Atvykimo oro uosto šalis,
,,,,,des_airport_region,string,,,,4,open,,Atvykimo oro uosto regionas,
