id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/on,,,,,,,,,,,,Oro Navigacija,AB Oro Navigacija,
,datasets/gov/on/zonos,,,,,,,,,,,,Oro erdvės apribojimų duomenys,"Rinkinyje pateikiami duomenys apie oro erdvės Lietuvoje apribojimus nuo 2024m. kovo mėn. Nurodoma tiksli apribojimų pradžia ir pabaiga, specialiosios oro erdvės pavadinimas bei oro erdvės žemutinė ir viršutinė ribos."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Apribojimas,,,vda_id,,,4,,,Oro erdvės apribojimų duomenys,"Rinkinyje pateikiami duomenys apie oro erdvės Lietuvoje apribojimus nuo 2024m. kovo mėn. Nurodoma tiksli apribojimų pradžia ir pabaiga, specialiosios oro erdvės pavadinimas bei oro erdvės žemutinė ir viršutinė ribos."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo unikalus identifikatorius,
,,,,,create_date,datetime,S,,,4,open,,Sukūrimo data,
,,,,,rezervation_date,date,D,,,4,open,,Erdvės apribojimo data,
,,,,,est_from,time,T,,,4,open,,Galiojimas nuo (laikas),
,,,,,from_d0,time,T,,,4,open,,Realus oro erdvės panaudojimo pradžios laikas,
,,,,,est_till,time,T,,,4,open,,Galiojimas iki,
,,,,,till_d0,time,T,,,4,open,,Realus oro erdvės panaudojimo pabaigos laikas,
,,,,,cancel_d0,datetime,S,,,4,open,,"Jei oro erdvės panaudojimas atšauktas (tactical lygmenyje), šiame lauke atsiranda datos ir laiko įrašas",
,,,,,zone_name,string,,,,4,open,,Spec. veiklos oro erdvės pavadinimas,
,,,,,zone_lower,string,,,,4,open,,"Erdvės žemutinė riba. Ribos nurodomos šiais dydžiais: MSL- Mean Sea Level , FL – Flight Level, AGL - Above Ground level, GND – Ground.",
,,,,,zone_upper,string,,,,4,open,,"Erdvės viršutinė riba. Ribos nurodomos šiais dydžiais: MSL- Mean Sea Level , FL – Flight Level, AGL - Above Ground level, GND – Ground.",
,,,,,name_svoe,string,,,,4,open,,Oro erdvės klasifikacija pagal aukštį,
,,,,,,enum,,,"""Žemiau FL95""",,,,,
,,,,,,,,,"""Aukščiau FL95""",,,,,
