id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/pagd,,,,,ns,,,,,,,Priešgaisrinės apsaugos ir gelbėjimo departamentas,
,datasets/gov/pagd/ivykiu_suvestine,,,,,,,,,,,,Priešgaisrinės apsaugos ir gelbėjimo departamento įvykių ir išvykčių suvestinė,"Gaisrų, gelbėjimo darbų ir priešgaisrinių gelbėjimo pajėgų išvykčių suvestinė"
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Ivykis,,,korteles_id,,,4,,,Priešgaisrinės apsaugos ir gelbėjimo departamento įvykių ir išvykčių suvestinė,"Gaisrų, gelbėjimo darbų ir priešgaisrinių gelbėjimo pajėgų išvykčių suvestinė"
,,,,,korteles_id,string,,,,4,open,,Kortelės identifikatorius,
,,,,,susieta_su_kortele,string,,,,4,open,,Sąsaja su kitu įvykiu,
,,,,,korteles_data,date,D,,,4,open,,Kortelės pildymo data,
,,,,,ivykio_aprasymas_lt,string,,,,4,open,,Įvykio aprašymas,
,,,,,,comment,type,,"update(property: ""ivykio_aprasymas_lt@lt"", type: ""text"")",,,spinta:204,,
,,,,,administracinis_vienetas,string,,,,4,open,,Teritorija kur įvyko įvykis,
,,,,,pagd_padalinys,string,,,,4,open,,Priešgaisrinės apsaugos gelbėjimo departamento padalinys,
,,,,,vietoves_tipas,string,,,,4,open,,Vietovės tipas,
,,,,,,enum,,,"""Miestas""",,,,,
,,,,,,,,,"""Kaimas""",,,,,
,,,,,,,,,"""Miestelis""",,,,,
,,,,,,,,,"""Kita vietovė""",,,,,
,,,,,darbu_atlikimo_rajonas,string,,,,4,open,,Darbų atlikimo rajonas,
,,,,,,enum,,,"""Operacijų rajone""",,,,,
,,,,,,,,,"""Kaimyniniame rajone""",,,,,
,,,,,ivykio_vieta,string,,,,4,open,,Įvykio vieta objekte,
,,,,,ivykio_vietos_aukstas,integer,,,,4,open,,Įvykio aukštas objekte,
,,,,,iskvietimo_laikas,datetime,,,,4,open,,Iškvietimo į įvykį laikas,
,,,,,likvidavimo_laikas,datetime,,,,4,open,,Įvykio likvidavimo laikas,
,,,,,ivykio_medziaga,string,,,,4,open,,Medžiaga sukėlusi įvykį,
,,,,,ivykio_priezastis,string,,,,4,open,,Įvykio priežastis,
,,,,,isgelbeta_zmoniu,integer,,,,4,open,,Išgelbėta žmonių,
,,,,,zuvo_zmoniu,integer,,,,4,open,,Žuvo žmonių,
,,,,,zuvo_nepilnameciu,integer,,,,4,open,,Žuvo nepilnamečių,
,,,,,traumuota_zmoniu,integer,,,,4,open,,Traumuota žmonių,
,,,,,sunaikinta_statiniu,integer,,,,4,open,,Sunaikinta statinių,
,,,,,ivykio_svarba,integer,,,,4,open,,Ivykio svarba,
