id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/palangos_gintaras/maistas,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,PatiektasPatiekalas,,,vda_id,,,4,,,"Vaikų reabilitacijos sanatorijos ""Palangos gintaras"" patiektų patiekalų sąrašas","Šiame rinkinyje pateikiamas vaikų reabilitacijos sanatorijos ""Palangos gintaras"" patiektų patiekalų sąrašas. Duomenys pateikiami už 2016-2023 metus. Pateiki duomenys nebebus atnaujinami."
,,,,,vda_id,string,,,,4,open,,Identifikacinis numeris,
,,,,,meniu_id,string,,,,4,open,,Meniu identifikacinis numeris,
,,,,,data,date,D,,,4,open,,Data,
,,,,,valgytoju_gr_id,string,,,,4,open,,Valgytojų grupės identifikacinis numeris,
,,,,,valgytoju_gr_pav,string,,,,4,open,,Valgytojų grupės pavadinimas,
,,,,,mait_laikas,string,,,,3,open,,Maitinimo laikas,
,,,,,patiekalas,string,,,,4,open,,Patiekalas,
,,,,,kodas,string,,,,4,open,,Patiekalo kodas,
,,,,,simbolis,string,,,,3,open,,Simbolis,
