id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/pb/prekiuzenklai,,,,,,,,,,,,Prekių ženklai,
,,,,,,prefix,ns,,,,,http://vpb.lt/open-data/schemas/trademark/v1 ,,
,,,,,,,ns2,,,,,http://vpb.lt/open-data/schemas/address/v1 ,,
,,,,,,,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,list,,,,html,,https://search.vpb.lt/pdb/opendata/trademark/list,,,,,,
,,,,Time,,,,/html/body/div[1]/table[2]/tbody/tr,,,,,,
,,,,,month,date,M,td[1]/text(),,4,,,,
,,,,,distribution,string,,td[2]/a/strong/text(),,3,,,,
,,xml,,,,xml,,https://search.vpb.lt/pdb/opendata/files/{time.distribution},"extract(""zip"")",,,,,
,,,,,,param,time,Time,select(distribution),,,,,
,,,,,,,,,,,,,,
,,,,TradeMark,,,application_number,/TradeMark,,4,,,Trademark,
,,,,,application_number,string,,ApplicationNumber,,4,,,Application number,
,,,,,application_date,date,D,ApplicationDate,,4,,,Application date,
,,,,,application_language_code,string,,ApplicationLanguageCode,,3,,,Application language code,
,,,,,registration_number,integer,,RegistrationNumber,,4,,,Registration number,
,,,,,registration_date,date,D,RegistrationDate,,4,,,Registration date,
,,,,,expiry_date,date,D,ExpiryDate,,4,,,Expiry date,
,,,,,mark_current_status_code,string,,MarkCurrentStatusCode,,3,,,Mark current status code,
,,,,,mark_current_status_date,date,D,MarkCurrentStatusDate,,4,,,Mark current status date,
,,,,,kind_mark,string,,KindMark,,3,,,Kinda mark,
,,,,,mark_feature,string,,MarkFeature,,3,,,Mark feature,
,,,,,opposition_period_start_date,date,D,OppositionPeriodStartDate,,4,,,Opposition period start date,
,,,,,opposition_period_end_date,date,D,OppositionPeriodEndDate,,4,,,Opposition period end date,
,,,,MarkImage,,,"trade_mark, mark_image_uri",/TradeMark/MarkImageDetails/MarkImage,,3,,,Mark image,
,,,,,trade_mark,ref,TradeMark,,,4,,,,
,,,,,mark_image_uri,string,,MarkImageURI,,3,,,Mark image URI,
,,,,,mark_image_colour,string,,MarkImageColourClaimedText,,,,,Mark image colour,
,,,,MarkImageCategory,,,category_code,/TradeMark/MarkImageDetails/MarkImage/MarkImageCategory/CategoryCodeDetails,,4,,,Mark image category,
,,,,,mark_image,ref,MarkImage,,,4,,,,
,,,,,category_code,string,,CategoryCode,,4,,,Category code,
,,,,ClassDescription,,,class_number,/TradeMark/GoodsServicesDetails/GoodsServices/ClassDescriptionDetails/ClassDescription,,3,,,Class description,
,,,,,class_number,integer,,ClassNumber,,3,,,Class number,
,,,,,goods_services_description_lt,string,,"GoodsServicesDescription[@languageCode=""LT""]",,2,,,,
,,,,,,comment,type,,"update(property:""goods_services_description@lt, type: ""text"")",4,,spinta:204,,
,,,,Priority,,,priority_number,/TradeMark/PriorityDetails/Priority,,4,,,Priority,
,,,,,priority_country_code,string,,PriorityCountryCode,,3,,,Priority country code,
,,,,,priority_number,integer,,PriorityNumber,,4,,,Priority number,
,,,,,priority_date,date,D,PriorityDate,,4,,,Priority date,
,,,,Publication,,,publication_identifier,/Trademark/PublicationDetails/Publication,,3,,,Publication,
,,,,,publication_identifier,,,PublicationIdentifier,,3,,,Publication identifier,
,,,,,publication_section,,,PublicationSection,,3,,,Publication section,
,,,,,publication_date,,,PublicationDate,,3,,,Publication date,
,,,,Applicant,,,person_type,/Trademark/ApplicantDetails/Applicant,,3,,,Applicant,
,,,,,person_type,,,PersonType,,3,,,Person type,
,,,,ns2:FormattedNameAddress,,,ns2:organization_name,/Trademark/ApplicantDetails/Applicant/AddressBook/ns2:FormattedNameAddress,,3,,,Name address,
,,,,,ns2:organization_name,,,ns2:OrganizationName,,3,,,Organization name,
