id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,,,,,,,,,,,,,,
,datasets/gov/pd/eiis,,,,,,,,,,,,,
,,json2013,,,,json,,https://data.gov.lt/dataset/509/download/10100/EI_2013%2012%2031.json,,,,,,
,,json2014,,,,json,,https://data.gov.lt/dataset/509/download/10093/EI_2014%2012%2031.json,,,,,,
,,json2015,,,,json,,https://data.gov.lt/dataset/509/download/10094/EI_2015%2012%2031.json,,,,,,
,,json2016,,,,json,,https://data.gov.lt/dataset/509/download/10095/EI_2016%2012%2031.json,,,,,,
,,json2017,,,,json,,https://data.gov.lt/dataset/509/download/10096/EI_2017%2012%2031.json,,,,,,
,,json2018,,,,json,,https://data.gov.lt/dataset/509/download/10097/EI_2018%2012%2031.json,,,,,,
,,json2019,,,,json,,https://data.gov.lt/dataset/509/download/10098/EI_2019%2012%2031.json,,,,,,
,,json2020,,,,json,,https://data.gov.lt/dataset/509/download/10099/EI_2020%2012%2031.json,,,,,,
,,,,EismoIvykis,,,registrokodas,,,,,,,
,,,,,registrokodas,string,,registrokodas,,3,open,,Registro kodas,
,,,,,data_laikas,datetime,T,dataLaikas,,4,open,,Įvykio data ir laikas,
,,,,,registravimo_data,datetime,T,registravimoData,,4,open,,Registravimo data,
,,,,,paskutinio_redagavimo_laikas,datetime,,paskutinioRedagavimoLaikas,,3,open,,Paskutinio redagavimo data,
,,,,,iskaitinis,integer,,iskaitinis,,3,open,,Iskaitinis,
,,,,,,enum,,1,true,,,,Taip,
,,,,,,,,0,false,,,,Ne,
,,,,,rusis,string,,rusis,,3,open,,Įvykio rūšis,
,,,,,schema1,string,,schema1,,3,open,,Schema 1 - detalesnis įvykio aprašymas,
,,,,,schema2,string,,schema2,,3,open,,Schema 2 - detalesnis įvykio aprašymas,
,,,,,dalyviu_skaicius,integer,,dalyviuSkaicius,,4,open,,Dalyvių skaičius,
,,,,,zuvusiu_skaicius,integer,,zuvusiuSkaicius,,4,open,,Žuvusių skaičius,
,,,,,zuvo_vaiku,integer,,ZuvVaiku,,4,open,,Žuvusių vaikų skaičius,
,,,,,suzeistu_skaicius,integer,,suzeistuSkaicius,,4,open,,Sužeistų skaičius,
,,,,,suzeista_vaiku,integer,,suzeistaVaiku,,4,open,,Sužeistų vaikų skaičius,
,,,,,tp_skaicius,integer,,tpSkaicius,,4,open,,Transporto priemonių skaičius,
,,,,,policijos_tp_skaicius,integer,,policijosTpSkaicius,,4,open,,Policijos transporto priemonių skaičius,
,,,,,apgadintu_tp_skaicius,integer,,apgadintuTpSkaicius,,4,open,,Apgadintų transporto priemonių skaičius,
,,,,,apgadintu_policijos_tp_skaic,integer,,apgadintuPolicijosTpSkaicius,,4,open,,Apgadintų policijos transporto priemonių skaičius,
,,,,,policijos_istaiga_l1,string,,policijosIstaigaL1,,3,open,,Policijos įstaiga 1,
,,,,,policijos_istaiga_l2,string,,policijosIstaigaL2,,3,open,,Policjos įstaiga 2,
,,,,,iforminusi_istaiga_l1,string,,iforminusiIstaigaL1,,3,open,,Įforminusi įstaiga 1,
,,,,,iforminusi_istaiga_l2,string,,iforminusiIstaigaL2,,3,open,,Įformunusi įstaiga 2,
,,,,,ivykio_vieta,string,,ivykioVieta,,3,open,,Įvykio vieta,
,,,,,vietos_savivaldybe_tipas,string,,vietosSavivaldybeTipas,,3,open,,Savivaldybės tipas,
,,,,,,enum,,,"""SAVIVALDYBE""",,,,Savivaldybė,
,,,,,,,,,"""MIESTO_SAVIVALDYBE""",,,,Miesto savivaldybė,
,,,,,,,,,null,,,,,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,savivaldybe,,2,open,,Savivaldybė,
,,,,,gatve,ref,/datasets/gov/rc/ar/gatve/Gatve,gatve,,2,open,,Gatvė,
,,,,,namas,ref,/datasets/gov/rc/ar/patalpa/Patalpa,namas,,3,open,,Namas,
,,,,,kita_gatve_sankryzoje,string,,kitaGatveSankryzoje,,3,open,,Kita gatvė (Jei įvykis įvyko sankryžoje),
,,,,,kelio_pavadinimas,ref,/datasets/gov/lakd/keliai/StateRoad,kelioPavadinimas,,3,open,,Kelio pavadinimas,
,,,,,kelio_reiksme,string,,kelioReiksme,,3,open,,Kelio reikšmė,
,,,,,atstumas,number,,atstumas,,3,open,,Atstumas,
,,,,,dangos_rusis,string,,dangosRusis,,3,open,,Kelio dangos rūšis,
,,,,,dangos_bukle,string,,dangosBukle,,3,open,,Kelio dangos būklė,
,,,,,paros_metas,string,,parosMetas,,3,open,,Paros metas,
,,,,,kelio_apsvietimas,string,,kelioApsvietimas,,3,open,,Kelio apšvietimas,
