id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,,,,,,,,,,,,,,
,datasets/gov/pd/prir,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,pri,,,,json,,{dist.download_url},,,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,Spinta:210,,
,,,,,,,,,,,,,,
,,,,PolicijosRegistruojamasIvykis,,,id,,,4,,,,
,,,,,id,integer,,id,,4,open,,ID numeris,
,,,,,info_gavimo_laikas,datetime,T,infoGavimoLaikas,,4,open,,Informacijos gavimo laikas,
,,,,,iregistravimo_data,datetime,T,registravimoData,,4,open,,Įregistravimo data,
,,,,,ivykio_data,datetime,T,ivykioData,,4,open,,Įvykio data,
,,,,,ivykio_data_iki,datetime,T,ivykioDataIki,,4,open,,Įvykio data iki,
,,,,,kategorija,string,,kategorija,,4,open,,Įvykio kategorija,
,,,,,,enum,,,"""A""",,,,A,"Pranešimas apie rengiamą, daromą ar padarytą labai sunkų ar sunkų, apysunkį nusikaltimą, kai nukentėjusiojo gyvybei, sveikatai ar didelės vertės turtui gresia pavojus (nustatoma, kai reaguoti reikia labai skubiai)."
,,,,,,,,,"""B""",,,,B,"Pranešimas apie rengiamą, daromą ar padarytą sunkų, apysunkį ar nesunkų nusikaltimą arba kai nukentėjusiojo gyvybei ar sveikatai gali kilti pavojus, nėra informacijos apie nukentėjusiojo būklę, yra neteisėto turto pasisavinimo ar jo sunaikinimo pavojus, jeigu neturintis įgaliojimų asmuo sulaikė teisės pažeidėją, taip pat pranešimas apie chuliganiškus viešosios tvarkos pažeidimus, viešosios rimties trikdymą, kiti teisės pažeidimai, kai gali kilti pavojus žmonių gyvybei ar sveikatai (nustatoma, kai reaguoti reikia skubiai)."
,,,,,,,,,"""C""",,,,C,"Pranešimas apie rengiamą, daromą ar padarytą apysunkį, nesunkų nusikaltimą, baudžiamąjį nusižengimą ar įvykį ir kai asmens, kuriam reikalinga policijos pagalba, gyvybei, sveikatai arba jo didelės vertės turtui negresia pavojus, taip pat kai pranešama apie kitus teisės pažeidimus (nustatoma, kai skubiai reaguoti nereikia arba fiksuojamas informacinis policijos registruojamas įvykis)."
,,,,,pranesimo_forma_kt,string,,pranesimoFormaKt,,3,open,,Pranešimo forma,
,,,,,create_date,datetime,T,createDate,,4,open,,Sukūrimo data,
,,,,,last_change_date,datetime,T,lastChangeDate,,4,open,,Paskutinio redagavimo data,
,,,,,teises_pazeidimo_pozymis,string,,teisesPazeidimoPozymis,,4,open,,Teisės pažeidimo požymis,
,,,,,,enum,,,"""Administracinis nusižengimas""",,,,Administracinis nusižengimas,
,,,,,,,,,"""Informacija nepasitvirtino""",,,,Informacija nepasitvirtino,
,,,,,,,,,"""Kita""",,,,Kita,
,,,,,,,,,"""Nusikalstama veika""",,,,Nusikalstama veika,
,,,,,,,,,"""Tarnybinės drausmės pažeidimas""",,,,Tarnybinės drausmės pažeidimas,
,,,,,tipas1,string,,tipas1,,4,open,,Įvykio tipas 1,
,,,,,,enum,,,"""Eismo saugumas""",,,,Eismo saugumas,
,,,,,,,,,"""Ginklai, šaudmenys, sprogmenys""",,,,"Ginklai, šaudmenys, sprogmenys",
,,,,,,,,,"""Įvykiai susiję su valstybės tarnyba""",,,,Įvykiai susiję su valstybės tarnyba,
,,,,,,,,,"""Kiti įvykiai""",,,,Kiti įvykiai,
,,,,,,,,,"""Neklasifikuoti""",,,,Neklasifikuoti,
,,,,,,,,,"""Nusikaltimai asmeniui""",,,,Nusikaltimai asmeniui,
,,,,,,,,,"""Turtinė veika""",,,,Turtinė veika,
,,,,,,,,,"""Viešosios tvarkos pažeidimai""",,,,Viešosios tvarkos pažeidimai,
,,,,,tipas2,string,,tipas2,,4,open,,Įvykio tipas 2,
,,,,,,enum,,,"""Asmens paieška""",,,,Asmens paieška,
,,,,,,,,,"""Eismo įvykis""",,,,Eismo įvykis,
,,,,,,,,,"""Ekonominės ir verslo tvarkos veikos""",,,,Ekonominės ir verslo tvarkos veikos,
,,,,,,,,,"""Ginklai, šaudmenys, karo laikų sprogmenys""",,,,"Ginklai, šaudmenys, karo laikų sprogmenys",
,,,,,,,,,"""Įtartini asmenys""",,,,Įtartini asmenys,
,,,,,,,,,"""Įvairūs viešosios tvarkos pažeidimai""",,,,Įvairūs viešosios tvarkos pažeidimai,
,,,,,,,,,"""Įvykiai susiję su policijos veikla""",,,,Įvykiai susiję su policijos veikla,
,,,,,,,,,"""Kaliningrado tranzitas""",,,,Kaliningrado tranzitas,
,,,,,,,,,"""KET pažeidimas""",,,,KET pažeidimas,
,,,,,,,,,"""Lavonas""",,,,Lavonas,
,,,,,,,,,"""Narkotinės medžiagos""",,,,Narkotinės medžiagos,
,,,,,,,,,"""Neapykantos kalba ir neapykantos kurstymas""",,,,Neapykantos kalba ir neapykantos kurstymas,
,,,,,,,,,"""Neigiama informacija internete""",,,,Neigiama informacija internete,
,,,,,,,,,"""Neklasifikuoti""",,,,Neklasifikuoti,
,,,,,,,,,"""Nusikaltimai asmeniui anksčiau""",,,,Nusikaltimai asmeniui anksčiau,
,,,,,,,,,"""Nusikaltimai asmeniui dabar""",,,,Nusikaltimai asmeniui dabar,
,,,,,,,,,"""Pagalba specialiosioms tarnyboms""",,,,Pagalba specialiosioms tarnyboms,
,,,,,,,,,"""Pavojus eismo saugumui""",,,,Pavojus eismo saugumui,
