id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/pkpd/evis,,,,,,,,,,,,Transporto priemonių rezervacijos kirsti pasienį,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,SienosKirtimoRezervacija,,,reg_id,,,4,,,Transporto priemonių rezervacijos kirsti pasienį,"Pasienio kontrolės punktų direkcijos (PKPD) ir VĮ „Regitra“ duomenų naudojantis rinkinys, sudarytas Valstybės duomenų agentūros. Duomenys kaupiami nuo 2013 m. ir atnaujinami kasdien. Duomenų rinkinyje saugoma paslaugos kirsti pasienį registracijos identifikatorius, registracijos kaina, mokestis ir kaina su mokesčiu. Taip pat nurodyti atvykimo į laukimo aikštelę, į pasienio kontrolės punktą laikai, punkto pavadinimas bei kaimyninė valstybė. Saugomi eilės tipas, transporto priemonės šifruotas valstybinis numeris, VIN šalis, rūšis, kategorija, ar transporto priemonė registruota Lietuvoje, šifruotas fizinio savininko arba atviras juridinio asmens kodas ir savininko pavadinimas, jei tai juridinis asmuo.    "
,,,,,reg_id,string,,,,4,open,Registracijos kirsti sieną paslaugos identifikatorius,,
,,,,,reg_kaina,number,EUR,,,4,open,Registracijos kirsti sieną kaina eurais,,
,,,,,reg_mok,number,EUR,,,4,open,Registracijos kirsti sieną mokestis eurais,,
,,,,,reg_kaina_su_mok,number,EUR,,,4,open,Registracijos kirsti sieną kaina su mokesčiu eurais,,
,,,,,rezervacijos_sukurimo_laikas,datetime,S,,,4,open,Rezervacijos įrašo sukūrimo data ir laikas,,
,,,,,atvykimo_i_aikstele_laikas,datetime,S,,,4,open,Atvykimo į aikštelę data ir laikas,,
,,,,,atvykimo_i_pkp_laikas,datetime,S,,,4,open,Atvykimo į pasienio kontrolės punktą data ir laikas,,
,,,,,punkto_pav,string,,,,4,open,Punkto pavadinimas,,
,,,,,kaimynine_valstybe,string,,,,4,open,Punkto kaimyninė valstybė,,
,,,,,eiles_tipas,string,,,,4,open,"Eilės tipas: gyvoji, rezervinė arba prioritetinė",,
,,,,,,enum,,Gyvoji,"""Gyvoji""",,,Gyvoji eilė,,
,,,,,,,,Išankstinė rezervacija,"""Išankstinė rezervacija""",,,Išankstinės rezervacijos eilė,,
,,,,,,,,Prioritetinė,"""Prioritetinė""",,,Prioritetinė eilė,,
,,,,,tp_valst_nr,string,,,,4,open,Transporto priemonės valstybinis numeris,,
,,,,,tp_vin_salis,string,,,,4,open,Transporto priemonės šalis iš VIN,,
,,,,,tp_rusis,string,,,,4,open,Transporto priemonės rūšis,,
,,,,,tp_kategorija,string,,,,4,open,Transporto priemonės kategorija,,
,,,,,ar_tp_registruota_lr,string,,,,4,open,Ar transporto priemonė registruota Lietuvos Respublikoje,,
,,,,,tp_savininko_kodas,string,,,,4,open,Transporto priemonės savininko fizinio arba juridinio asmens kodas,,
,,,,,tp_sav_jur_asm_pav,string,,,,4,open,Transporto priemonės juridinio asmens kaip savininko pavadinimas,,
