id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/pkpd/sienos_kirtimu_rezervaciju_statistika,,,,,,,,,,,,Krovininių transporto priemonių rezervacijų kirsti Lietuvos Respublikos sieną statistika,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,RezervacijosDatai,,,iraso_id,,,4,,,Krovininių transporto priemonių rezervacijų kirsti Lietuvos Respublikos sieną statistika,"Lentelėje pateikiama krovininių transporto priemonių rezervacijų kirsti Lietuvos Respublikos sieną statistika iš Pasienio kontrolės punktų direkcijos (PKPD) eilių valdymo informacinės sistemos (EVIS). Duomenys kaupiami nuo 2013 metų ir atnaujinami kas mėnesį. Svarbu paminėti, kad lentelėje baigtų rezervacijų skaičiai apima tiek sėkmingai įgyvendintas rezervacijas (kai transporto priemonė pervažiuoja iš laukimo aikštelės į pasienio kontrolės punktą), tiek atšauktas, neįvykdytas rezervacijas. Dėl techninių klausimų ar klaidų galima kreiptis į atverimas@stat.gov.lt."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,punkto_pav,string,,,,4,open,,Pasienio kontrolės punkto pavadinimas,
,,,,,data,date,D,,,4,open,,"Data, kuriai rezervuotas sienos kirtimas",
,,,,,trukme_iki_sienos,integer,,,,4,open,,Trukmė (minutėmis) iki sienos,
,,,,,transporto_priemones_kategorija,string,,,,4,open,,Transporto priemonės kategorija,
,,,,,rezervacijos_ge,integer,U,,,4,open,,Baigtų rezervacijų skaičius (gyva eilė),
,,,,,rezervacijos_ir,integer,U,,,4,open,,Baigtų rezervacijų skaičius (išankstinė rezervacija),
,,,,,rezervacijos_pe,integer,U,,,4,open,,Baigtų rezervacijų skaičius (prioritetinė eilė),
,,,,,rezervacijos_viso,integer,U,,,4,open,,Baigtų rezervacijų skaičius (viso),
,,,,,sekmingi_ge,integer,U,,,4,open,,"Krovininių transporto priemonių, sėkmingai pervažiavusių iš laukimo aikštelės į pasienio punktą, skaičius (gyva eilė)",
,,,,,sekmingi_ir,integer,U,,,4,open,,"Krovininių transporto priemonių, sėkmingai pervažiavusių iš laukimo aikštelės į pasienio punktą, skaičius (išankstinė rezervacija)",
,,,,,sekmingi_pe,integer,U,,,4,open,,"Krovininių transporto priemonių, sėkmingai pervažiavusių iš laukimo aikštelės į pasienio punktą, skaičius (prioritetinė eilė)",
,,,,,sekmingi_viso,integer,U,,,4,open,,"Krovininių transporto priemonių, sėkmingai pervažiavusių iš laukimo aikštelės į pasienio punktą, skaičius (viso)",
