id;dataset;resource;base;model;property;type;ref;source;prepare;level;access;uri;title;description
;datasets/gov/prienu_r_sav;;;;;ns;;;;;;;Prienø rajono savivaldybë;
;datasets/gov/prienu_r_sav/IRPPTVVLIS;;;;;;;;;;;;Iðorinës reklamos, prekybos ir paslaugø teikimo vieðosiose vietose leidimø iðdavimo sistema;Prienø raj. sav. Iðorinës reklamos, prekybos ir paslaugø teikimo vieðosiose vietose leidimø iðdavimo sistemos duomenø rinkiná sudaro 1 lentelë – Prienø raj. savivaldybës nuo 2025 m. kovo mën. pabaigos renkami prekybai, reklamai arba paslaugø teikimui pateiktø paraiðkø duomenys ir bûsenos. 
;;;;;;prefix;spinta;;;;;https://github.com/atviriduomenys/spinta/issues/;;
;;;;;;;manifest;;;;;https://github.com/atviriduomenys/manifest/issues/;;
;;;;;;;;;;;;;;
;;;;Leidimas;;;id;;;4;;;Prienø raj. sav. Iðorinës reklamos, prekybos ir paslaugø teikimo vieðosiose vietose leidimø iðdavimo duomenys;"Prienø raj. sav. Iðorinës reklamos, prekybos ir paslaugø teikimo vieðosiose vietose leidimø iðdavimo sistemos duomenø rinkiná sudaro 1 lentelë – Prienø raj. savivaldybës nuo 2025 m. kovo mën. pabaigos renkami prekybai, reklamai arba paslaugø teikimui pateiktø paraiðkø duomenys ir bûsenos. Vienas áraðas lentelëje atitinka vienà juridinio ar fizinio asmens paraiðkà prekiauti ar teikti paslaugas Prienø raj. savivaldybës teritorijoje.  

Duomenø teikëjas –  Prienø rajono savivaldybë.  

Dël techniniø klausimø ar galimø klaidø kreiptis á atverimas@stat.gov.lt. "
;;;;;id;string;;;;4;open;;Pirminis raktas;
;;;;;ilguma_wgs;number;;;;4;open;;Ilguma (papildomas VDA stulpelis);
;;;;;adresas;string;;;;4;open;;Adresas vietos, kuriai taikomas leidimas;
;;;;;renginio_tipas;string;;;;4;open;;Poþymis, nurodantis, ar renginys, ar mugë;
;;;;;seniunijos_el_pastas;string;;;;4;open;;Seniûnijos el. paðtas;
;;;;;pardavimo_pavadinimas;string;;;;4;open;;Pardavimo vietos pavadinimas;
;;;;;kasimo_darbu_tipas;string;;;;4;open;;Kasimo darbø tipas;
;;;;;renginys;string;;;;4;open;;Renginio pavadinimas;
;;;;;renginio_pradzia;date;D;;;4;open;;Renginio pradþios data;
;;;;;paraiskos_pateikimo_data;time;;;;4;open;;Paraiðkos sukûrimo data;
;;;;;reikalingu_vietu_sk;integer;;;;4;open;;Vietø skaièius;
;;;;;renginio_pabaiga;date;D;;;4;open;;Data iki;
;;;;;renginio_aprasymas;string;;;;4;open;;Apraðymas;
;;;;;kaina;number;;;;4;open;;Kaina;
;;;;;pardavimo_erdves_vietu_sk;integer;;;;4;open;;Maksimalios vietos;
;;;;;platuma_wgs;number;;;;4;open;;Platuma (papildomas VDA stulpelis);
;;;;;paraiskos_busena;string;;;;4;open;;Bûsenos pavadinimas;
;;;;;turinys;string;;;;4;open;;Rûðis;
;;;;;pardavimo_tipo_trumpinys;string;;;;4;open;;Renginio pavadinimas;
;;;;;seniunija;string;;;;4;open;;Seniûnijos pavadinimas;
;;;;;pardavimo_vieta;string;;;;4;open;;Pardavimo vieta;
;;;;;pardavimo_vietos_aprasymas;string;;;;4;open;;Pardavimo vietos apraðymas;
;;;;;leidimo_pabaigos_data;date;D;;;4;open;;Leidimo galiojimo pabaigos data;
;;;;;leidimo_pradzios_data;date;D;;;4;open;;Leidimo galiojimo pradþios data;
;;;;;pardavimo_tipas;string;;;;4;open;;Pardavimo tipas;
