id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ais/bylos_II,,,,,,,,,,,,Antstolių informacinės sistemos (AIS) duomenys apie antstolių vykdomas bylas – II,"AIS duomenys apie antstolių vykdomas bylas – II (pagal skolininkų fizinių ir juridinių asmenų skaičių, amžių, išieškotiną sumą). Antstolių informacinės sistemos (AIS) pirminiai duomenys (RAW DATA) apie antstolių vykdomas bylas. Duomenų geografinė imtis — visa šalies teritorija. Brandos lygis — III. Atnaujinimo dažnumas — kas 3 mėn. Duomenų formatas — CSV. Licencija — CC BY 4.0"
,,,,,,,,,,,,,,
,,,,VykdomaByla,,,nr,,,4,,,Antstolių informacinės sistemos (AIS) duomenys apie antstolių vykdomas bylas – II,
,,,,,nr,integer,,,,4,open,,Eilės numeris šiame duomenų rinkinyje,
,,,,,tipas,string,,,,4,open,,Skolininko tipas (Fizinis asmuo - kai fizinis asmuo; Juridinis asmuo pats iš savęs (lot. Per se); LR juridinis asmuo; Užsienio juridinis asmuo - kai juridinis asmuo; Nenustatytas - kai asmens tipas nenurodytas),
,,,,,,enum,,,"""Fizinis asmuo""",,,,Kai skolininko tipas fizinis asmuo,
,,,,,,,,,"""Juridinis asmuo""",,,,Kai skolininko tipas juridinis asmuo pats iš savęs (lot. Per se),
,,,,,,,,,"""LR juridinis asmuo""",,,,Kai skolininko tipas lietuvos respublikoje įregistruotas juridinis asmuo,
,,,,,,,,,"""Užsienio juridinis asmuo""",,,,Kai skolininko tipas užsienio valstybėje įregistruotas juridinis asmuo,
,,,,,,,,,"""Nenustatytas""",,,,Kai skolininko tipas kaip asmens tipas nenurodytas,
,,,,,amziaus_grupe,string,,,,4,open,,"Skolininko amžiaus grupė (0-24 - kai amžius nuo 0 iki 24 metų, 25-34 - kai amžius nuo 25 iki 34 metų, 35-44 - kai amžius nuo 35 iki 44 metų, 45-54 - kai amžius nuo 45 iki 54 metų, 55-64 - kai amžius nuo 55 iki 64 metų, 65-84 - kai amžius nuo 65 iki 84 metų, 85+ - kai amžius nuo 85 metų, nenustatyta - kai amžius nenurodytas)",
,,,,,,enum,,,"""0-24""",,,,Kai skolininko amžiaus grupė yra nuo 0 iki 24 metų,
,,,,,,,,,"""25-34""",,,,Kai skolininko amžiaus grupė yra nuo 25 iki 34 metų,
,,,,,,,,,"""35-44""",,,,Kai skolininko amžiaus grupė yra nuo 35 iki 44 metų,
,,,,,,,,,"""45-54""",,,,Kai skolininko amžiaus grupė yra nuo 45 iki 54 metų,
,,,,,,,,,"""55-64""",,,,Kai skolininko amžiaus grupė yra nuo 55 iki 64 metų,
,,,,,,,,,"""65-84""",,,,Kai skolininko amžiaus grupė yra nuo 65 iki 84 metų,
,,,,,,,,,"""85+""",,,,Kai skolininko amžiaus grupė yra 85 ir daugiau metų,
,,,,,,,,,"""Nenustatyta""",,,,Kai skolininko amžiaus grupės amžius nenurodytas ,
,,,,,bylu_kiekis,integer,,,,3,open,,Vykdomų bylų kiekis (sugrupuota pagal skolininko tipą ir skolininko amžiaus grupę),
,,,,,skolu_suma,integer,,,,3,open,,Vykdomų bylų bendra skolų suma (sugrupuota pagal asmens tipą ir asmens amžiaus grupę),
