id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ais/isieskotojai,,,,,,,,,,,,Antstolių informacinės sistemos (ais) duomenys apie skolų išieškotojus,"AIS duomenys apie skolų išieškotojus (pagal savivaldybes, išieškojimo dalyką, išieškotiną sumą, vykdomųjų bylų skaičių, skolininkų fizinių ir juridinių asmenų skaičių). Antstolių informacinės sistemos (AIS) pirminiai duomenys (RAW DATA) apie skolų išieškotojus. Duomenų geografinė imtis — visa šalies teritorija. Brandos lygis — III. Atnaujinimo dažnumas — kas 3 mėn. Duomenų formatas — CSV. Licencija — CC BY 4.0"
,,,,,,,,,,,,,,
,,,,Isieskotojas,,,nr,,,4,,,Antstolių informacinės sistemos (ais) duomenys apie skolų išieškotojus,
,,,,,nr,integer,,,,4,open,,Eilės numeris šiame duomenų rinkinyje,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,"Savivaldybės, kurioje deklaruota skolininko (fizinio asmens) gyvenamoji vieta, kodas iš adresų registro (kai gyvenamoji vieta nenurodyta - -1)",
,,,,,isieskojimo_dalykas,ref,/datasets/gov/rc/ais/busenu_dalyku_klasifikatorius/Dalykas,,,4,open,,Išieškojimo dalyko kodas iš ais išieškojimo dalykų klasifikatoriaus,
,,,,,isieskotojo_tipas,string,,,,4,open,,Išieškojimą inicijavusio asmens tipas (fizinis asmuo - kai fizinis asmuo; juridinis asmuo pats iš savęs (lot. Per se); lr juridinis asmuo; užsienio juridinis asmuo - kai juridinis asmuo; nenustatytas - kai asmens tipas nenurodytas),
,,,,,,enum,,,"""Fizinis asmuo""",,,,Kai skolininko tipas fizinis asmuo,
,,,,,,,,,"""Juridinis asmuo""",,,,Kai išieškojimą inicijavusio asmens tipas juridinis asmuo pats iš savęs (lot. Per se),
,,,,,,,,,"""LR juridinis asmuo""",,,,Kai išieškojimą inicijavusio asmens tipas lietuvos respublikoje įregistruotas juridinis asmuo,
,,,,,,,,,"""Užsienio juridinis asmuo""",,,,Kai išieškojimą inicijavusio asmens tipas užsienio valstybėje įregistruotas juridinis asmuo,
,,,,,,,,,"""Nenustatytas""",,,,Kai išieškojimą inicijavusio asmens tipas kaip asmens tipas nenurodytas,
,,,,,skolininko_tipas,string,,,,4,open,,"Asmens, iš kurio vykdomas išieškojimas, tipas (fizinis asmuo - kai fizinis asmuo; juridinis asmuo pats iš savęs (lot. Per se); lr juridinis asmuo; užsienio juridinis asmuo - kai juridinis asmuo; nenustatytas - kai asmens tipas nenurodytas)",
,,,,,,enum,,,"""Fizinis asmuo""",,,,Kai skolininko tipas fizinis asmuo,
,,,,,,,,,"""Juridinis asmuo""",,,,Kai skolininko tipas juridinis asmuo pats iš savęs (lot. Per se),
,,,,,,,,,"""LR juridinis asmuo""",,,,Kai skolininko tipas lietuvos respublikoje įregistruotas juridinis asmuo,
,,,,,,,,,"""Užsienio juridinis asmuo""",,,,Kai skolininko tipas užsienio valstybėje įregistruotas juridinis asmuo,
,,,,,,,,,"""Nenustatytas""",,,,Kai skolininko tipas kaip asmens tipas nenurodytas,
,,,,,bylu_kiekis,string,,,,3,open,,"Vykdomų bylų kiekis (sugrupuotas pagal išieškojimą inicijavusio asmens tipą ir jo savivaldybę, išieškojimo dalyką ir asmens, iš kurio vykdomas išieškojimas, tipą)",
,,,,,skolu_suma,integer,,,,3,open,,"Vykdomų bylų bendra skolų suma (sugrupuota pagal išieškojimą inicijavusio asmens tipą ir jo savivaldybę, išieškojimo dalyką ir asmens, iš kurio vykdomas išieškojimas, tipą)",
