id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar,,,,,,,,,,,,Adresų registras,
,,,,,,,,,,,,,,
,,,,Apskritis,,,kodas,,,,,,Apskritis,
,,,,,kodas,integer,,,,4,open,,Kodas,Nekeičiamas apskrities egzistavimo laiką.
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,Kilmininko linksnis.
,,,,,plotas,number,,,,3,open,,Plotas (ha),
,,,,,nuo,date,,,,3,open,,Objekto įregistravimo data,
,,,,,reg,date,,,,3,open,,Įrašymo į Adresų registrą data,
,,,,,ribos,"geometry(polygon,3346)",m,,,4,open,,Ribos,
,,,,,,,,,,,,,,
,,,,Savivaldybe,,,kodas,,,,,,Savivaldybė,
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,Kilmininko linksnis.
,,,,,apskritis,ref,Apskritis,,,4,open,,Apskritis,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įrašymo į Adresų registrą data,
,,,,,plotas,number,,,,3,open,,Plotas (ha),
,,,,,ribos,"geometry(polygon,3346)",m,,,4,open,,Ribos,
,,,,,,,,,,,,,,
,,,,Seniunija,,,kodas,,,,,,Seniūnija,
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,
,,,,,savivaldybe,ref,Savivaldybe,,,4,open,,Savivaldybė,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įrašymo į Adresų registrą data,
,,,,,plotas,number,,,,3,open,,Plotas (ha),
,,,,,ribos,"geometry(polygon,3346)",m,,,4,open,,Ribos,
,,,,,,,,,,,,,,
,,,,Gyvenviete,,,kodas,,,,,,Gyvenamoji vietovė,
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,,enum,,,"""kaimas""",,,,Kaimas,
,,,,,,,,,"""viensėdis""",,,,Viensėdis,
,,,,,,,,,"""miestelis""",,,,Miestelis,
,,,,,,,,,"""miestas""",,,,Miestas,
,,,,,,,,,"""geležinkelio stotis""",,,,Geležinkelio stotis,
,,,,,tipo_santrumpa,string,,,,2,open,,Tipo trumpinys,
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,Vardininko linksnyje.
,,,,,seniunija,ref,Seniunija,,,4,open,,Seniūnija,
,,,,,savivaldybe,ref,Savivaldybe,,,4,open,,Savivaldybė,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įrašymo į Adresų registrą data,
,,,,,plotas,number,,,,3,open,,Plotas (ha),
,,,,,ribos,"geometry(polygon,3346)",m,,,4,open,,Ribos,
,,,,,,,,,,,,,,
,,,,Gatve,,,kodas,,,,,,Gatvė,
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,tipas,string,,,,3,open,,Tipas,
,,,,,,enum,,,"""gatvė""",,,,Gatvė,
,,,,,,,,,"""viensėdis""",,,,Viensėdis,
,,,,,,,,,"""takas""",,,,Takas,
,,,,,,,,,"""skersgatvis""",,,,Skersgatvis,
,,,,,,,,,"""alėja""",,,,Alėja,
,,,,,,,,,"""akligatvis""",,,,Akligatvis,
,,,,,,,,,"""plentas""",,,,Plentas,
,,,,,,,,,"""kelias""",,,,Kelias,
,,,,,,,,,"""aikštė""",,,,Aikštė,
,,,,,,,,,"""skveras""",,,,Skveras,
,,,,,,,,,"""prospektas""",,,,Prospektas,
,,,,,,,,,"""aplinkkelis""",,,,Aplinkelis,
,,,,,,,,,"""krantinė""",,,,Krantinė,
,,,,,tipo_santrumpa,string,,,,2,open,,Tipo trumpinys,
,,,,,pavadinimas,string,,,,2,open,,Gatvės pavadinimas,Kilmininko linksnyje.
,,,,,gyvenviete,ref,Gyvenviete,,,4,open,,Gyvenvietė,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įvedimo į Adresų registrą data,
,,,,,ilgis,number,m,,,4,open,,Gatvės ilgis metrais,
,,,,,linija,"geometry(linestring,3346)",m,,,4,open,,Ašinė linija,"Ašinė linija su pradžia, pabaiga ir posūkio taškai"
,,,,,,,,,,,,,,
,,,,Pastatas,,,kodas,,,,,,Žemės sklypui arba pastatui suteiktas adresas,
,,,,,kodas,integer,,,,4,open,,"Adreso (namo, korpuso) išorinis kodas",
,,,,,savivaldybe,ref,Savivaldybe,,,4,open,,Savivaldybė,
,,,,,gyvenviete,ref,Gyvenviete,,,4,open,,Gyvenvietė,
,,,,,gatve,ref,Gatve,,,4,open,,Gatvė,
,,,,,nr,string,,,,4,open,,Numeris gatvėje arba gyvenamojoje vietovėje,
,,,,,korpuso_nr,string,,,,4,open,,Korpuso numeris,
,,,,,pasto_kodas,string,,,,4,open,,Pašto kodas,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įvedimo į Adresų registrą data ,
,,,,,pakeista,date,,,,3,open,,Pakeitimo registre data,
,,,,,pakeista_geometrija,date,,,,3,open,,Geometrinių charakteristikų pakeitimo data,
,,,,,taskas,"geometry(point, 3346)",,,,3,open,,Taškas,
,,,,,,,,,,,,,,
,,,,Patalpa,,,kodas,,,,,,Gyvenamoji arba negyvenamoji patalpa,
,,,,,kodas,integer,,,,4,open,,Patalpos kodas,
,,,,,savivaldybe,ref,Savivaldybe,,,4,open,,Savivaldybė,
,,,,,pastatas,ref,Pastatas,,,4,open,,Pastatas,
,,,,,nr,integer,,,,4,open,,Patalpos numeris pastate ar korpuse,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,,,,,,,,,,
,,,,istorija/Gyvenviete,,,kodas,,,,,,Gyvenvietė,Istorinė (panaikinta) gyvenamoji vietovė.
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,,enum,,,"""kaimas""",,,,Kaimas,
,,,,,,,,,"""viensėdis""",,,,Viensėdis,
,,,,,,,,,"""miestelis""",,,,Miestelis,
,,,,,,,,,"""miestas""",,,,Miestas,
,,,,,,,,,"""geležinkelio stotis""",,,,Geležinkelio stotis,
,,,,,tipo_santrumpa,string,,,,2,open,,Tipo trumpinys,
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,Vardininko linksnyje.
,,,,,seniunija,ref,Seniunija,,,4,open,,Seniūnija,
,,,,,savivaldybe,ref,Savivaldybe,,,4,open,,Savivaldybė,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,isregistruota,date,,,,3,open,,Objekto išregistravimo data,
,,,,,sukurta,date,,,,3,open,,Įrašymo į Adresų registrą data,
,,,,,pakeista,date,,,,3,open,,Pakeitimo data,
,,,,,plotas,number,,,,3,open,,Plotas (ha),
,,,,,ribos,"geometry(polygon,3346)",m,,,4,open,,Ribos,
,,,,,,,,,,,,,,
,,,,istorija/Gatve,,,kodas,,,,,,Gatvė,Istorinė (panaikintų) gatviė.
,,,,,kodas,integer,,,,4,open,,Kodas,
,,,,,tipas,string,,,,3,open,,Tipas,
,,,,,,enum,,,"""gatvė""",,,,Gatvė,
,,,,,,,,,"""viensėdis""",,,,Viensėdis,
,,,,,,,,,"""takas""",,,,Takas,
,,,,,,,,,"""skersgatvis""",,,,Skersgatvis,
,,,,,,,,,"""alėja""",,,,Alėja,
,,,,,,,,,"""akligatvis""",,,,Akligatvis,
,,,,,,,,,"""plentas""",,,,Plentas,
,,,,,,,,,"""kelias""",,,,Kelias,
,,,,,,,,,"""aikštė""",,,,Aikštė,
,,,,,,,,,"""skveras""",,,,Skveras,
,,,,,,,,,"""prospektas""",,,,Prospektas,
,,,,,,,,,"""aplinkkelis""",,,,Aplinkelis,
,,,,,,,,,"""krantinė""",,,,Krantinė,
,,,,,tipo_santrumpa,string,,,,2,open,,Tipo trumpinys,
,,,,,pavadinimas,string,,,,2,open,,Pavadinimas,Kilmininko linksnyje.
,,,,,gyvenviete,ref,Gyvenviete,,,4,open,,Gyvenvietė,
,,,,,iregistruota,date,,,,3,open,,Objekto įregistravimo data,
,,,,,atributu_pradzia,date,,,,3,open,,Atributų rinkinio galiojimo pradžia,
,,,,,atributu_pabaiga,date,,,,3,open,,Atributų rinkinio galiojimo pabaiga,
,,,,,sukurta,date,,,,3,open,,Įvedimo į Adresų registrą data,
,,,,,istrinta,date,,,,3,open,,Išregistravimo iš registro data ,
,,,,,ilgis,number,m,,,4,open,,Ilgis metrais,
,,,,,linija,"geometry(linestring,3346)",m,,,4,open,,Ašinė linija,"Ašinė linija su pradžia, pabaiga ir posūkio taškais."
