id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/adresotaskas,,,,,,,,,,,,Adresų registras,
,,adresotaskas,,,,json,,https://www.registrucentras.lt/aduomenys/?byla=adr_gra_{savivaldybe.sav_kodas}.json,,,,,Adresų registro duomenų bazė,
,,,,AdresoTaskas,,,aob_kodas,,,,,,Adresų registro žemės sklypams ir pastatams suteiktų adresų erdviniai duomenysAdresų registro žemės sklypams ir pastatams suteiktų adresų erdviniai duomenys,"Žemės sklypams ir pastatams suteiktų adresų erdvinių duomenų rinkinys iš Lietuvos Respublikos adresų registro (žemės sklypams ir pastatams suteiktus adresus apibūdinantys duomenys (duomenų rinkinių grupė, 60 vnt.)). Duomenų geografinė imtis — visa šalies teritorija."
,,,,,aob_kodas,integer,,AOB_KODAS,,3,open,,"Adreso kodas, unikalus Respublikos mastu (nuolat palaikomas)",
,,,,,gyv_kodas,ref,datasets/gov/rc/ar/gragyvenamojivietove/GraGyvenamojiVietove,GYV_KODAS,,4,open,,Gyvenamosios vietovės kodas Registre (nekeičiamas gyvenamosios vietovės egzistavimo laiką),
,,,,,gat_kodas,ref,datasets/gov/rc/ar/gragatve/GraGatve,GAT_KODAS,,4,open,,Gatvės kodas Registre ,
,,,,,x_koord,number,m,X_KOORD,,4,open,,Adreso taško Y koordinatė LKS-94 koordinačių sistemoje,
,,,,,y_koord,number,m,Y_KOORD,,4,open,,Adreso taško X koordinatė LKS-94 koordinačių sistemoje,
,,,,,lks,"geometry(point, 3346)",,,"point(x_koord, y_koord)",,,,,
,,,,,aob_r,date,,AOB_R,,3,open,,Adreso taško įvedimo į Adresų registrą data ,
,,,,,aob_rk,date,,AOB_RK,,3,open,,Adreso taško pakeitimo registre data,
,,,,,aob_atr_ko,date,,AOB_ATR_KO,,3,open,,Adreso taško geometrinių charakteristikų pakeitimo data,
,,,,,pasto_koda,string,,PASTO_KODA,,3,open,,Pašto kodas,
,,,,,n_koord,number,m,N_KOORD,,4,open,,Adreso taško platuma WGS-84 koordinačių sistemoje,
,,,,,e_koord,number,m,E_KOORD,,4,open,,Adreso taško ilguma WGS-84 koordinačių sistemoje,
,,,,,wgs,"geometry(point, 4326)",,,"point(n_koord, e_koord)",,,,,
