id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/galobjektusk,,,,,,,,,,,,Adresų registro galiojančių objektų kiekiai mėnesio pradžiai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,ObjektuSkaicius,,,"sav_kodas, metai, menuo",,,3,,,Adresų registro galiojančių objektų kiekiai mėnesio pradžiai,
,,,,,adm_kodas,string,,,,4,open,,Apskrities kodas,
,,,,,adm_pavadinimas,string,,,,3,open,,Apskrities pavadinimas,
,,,,,sav_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,sav_pavadinimas,string,,,,3,open,,Savivaldybės pavadinimas,
,,,,,metai,integer,,,,2,open,,Metai ,
,,,,,menuo,integer,,,,2,open,,Mėnuo,
,,,,,sen_kiekis,integer,U,,,4,open,,Seniūnijų sk.,
,,,,,gyv_vietoves_viso,integer,U,,,4,open,,Gyvenamųjų vietovių sk. iš viso,
,,,,,gyv_vietoves_m,integer,U,,,4,open,,Miesto tipo gyvenamųjų vietovių sk. ,
,,,,,gyv_vietoves_mstl,integer,U,,,4,open,,Miestelio tipo gyvenamųjų vietovių sk. ,
,,,,,gyv_vietoves_k,integer,U,,,4,open,,Kaimo tipo gyvenamųjų vietovių sk. ,
,,,,,gyv_vietoves_vs,integer,U,,,4,open,,Viensėdžio tipo gyvenamųjų vietovių sk. ,
,,,,,gyv_vietoves_su_gat,integer,U,,,4,open,,Gyvenamųjų vietovių su gatvėmis sk.,
,,,,,gyv_vietoves_be_gat_su_adr,integer,U,,,4,open,,"Gyvenamųjų vietovių su adresais,  be gatvių, sk.",
,,,,,gat_kiekis,integer,U,,,4,open,,Gatvių sk.,
,,,,,adresu_kiekis,integer,U,,,4,open,,Adresų taškų sk.,
,,,,,pat_kiekis,integer,U,,,4,open,,Patalpų adresų sk.,
