id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/gatve,,,,,,,,,,,,Adresų registras,
,,,,Gatve,,,gat_kodas,,,4,,,Adresų registro gatvių tekstinių duomenų rinkinys ,Gatvių tekstinių duomenų rinkinys iš Lietuvos Respublikos adresų registro (Lietuvos Respublikos gatves apibūdinantys duomenys).  Duomenų geografinė imtis — visa šalies teritorija.
,,,,,gat_kodas,integer,,,,4,open,,Gatvės identifikavimo kodas,
,,,,,tipas,string,,,,3,open,,Gatvės tipas,
,,,,,tipo_santrumpa,string,,,,3,open,,Gatvės tipo trumpinys,
,,,,,pavadinimas,string,,,,3,open,,Gatvės pavadinimas (kilmininko linksnyje),
,,,,,gyvenamoji_vietove,ref,/datasets/gov/rc/ar/gyvenamojivietove/GyvenamojiVietove,,,4,open,,"Gyvenamosios vietovės, kurioje yra gatvė, identifikavimo kodas",
,,,,,nuo,date,D,,,4,open,,Atributų rinkinio pradžios galiojimo data,
,,,,,gat_nuo,date,D,,,4,open,,Objekto įregistravimo data,
,,,,,gat_iki,date,D,,,4,open,,Objekto išregistravimo data,
