id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/graistgatve,,,,,,,,,,,,Adresų registras,
,,,,GraIstGatve,,,gat_kodas,,,4,,,Adresų registro gatvių ašinių linijų erdviniai duomenys,"Gatvių ašinių linijų erdvinių duomenų rinkinys iš Lietuvos Respublikos adresų registro (gatvių ašinių linijas apibūdinantys duomenys).
Duomenų geografinė imtis — visa šalies teritorija."
,,,,,gat_kodas,integer,,,,4,open,,Istorinės (panaikintos) gatvės kodas Registre ,
,,,,,pavadinimas,string,,,,3,open,,Sutrumpintas istorinės (panaikintos) gatvės vardas su tipu (nuolat palaikomas),
,,,,,nuo,date,D,,,4,open,,Istorinės (panaikintos) gatvės atributų rinkinio pradžios galiojimo data,
,,,,,iki,date,D,,,4,open,,Istorinės (panaikintos) gatvės atributų rinkinio galiojimo pabaigos data ,
,,,,,gat_r,date,D,,,4,open,,Istorinės (panaikintos) gatvės ašinės linijos įvedimo į Adresų registrą data,
,,,,,gat_iki,date,D,,,4,open,,Istorinės (panaikintos) gatvės ašinės linijos išregistravimo iš registro data ,
,,,,,gat_ilgis,number,m,,,4,open,,Istorinės (panaikintos) gatvės ilgis metrais,
,,,,,gyvenamoji_vietove,ref,/datasets/gov/rc/ar/gragyvenamojivietove/GraGyvenamojiVietove,,,4,open,,Gyvenamosios vietovės kodas Registre,
,,,,,formavimo_data,date,D,,,4,open,,Duomenų formavimo data,
,,,,,ist_gatves,"geometry(3346)",m,,,4,open,,"Istorinės (panaikintos) gatvės ašinė linija su pradžia, pabaiga ir posūkio taškais",
