id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/iregobjektusk,,,,,,,,,,,,Naujai įregistruotų Adresų registro objektų skaičius per mėnesį,
,,,,IregistruotuObjektuSkaicius,,,"savivaldybe, metai, menuo",,,3,,,Naujai įregistruotų Adresų registro objektų skaičius per mėnesį,
,,,,,apskritis,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Apskrities kodas,
,,,,,savivaldybe,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Savivaldybės kodas,
,,,,,metai,integer,,,,2,open,,Metai ,
,,,,,menuo,integer,,,,2,open,,Mėnuo,
,,,,,patalpos_n,integer,,,,4,open,,Naujai įregistruotų patalpų sk.,
,,,,,adresai_n,integer,U,,,4,open,,Naujai įregistruotų adresų taškų sk. ,
,,,,,gatves_n,integer,U,,,4,open,,Naujai įregistruotų gatvių sk.,
,,,,,gyv_vietoves_n,integer,U,,,4,open,,Naujai įregistruotų gyvenamųjų vietovių sk.,
,,,,,seniunijos_n,integer,U,,,4,open,,Naujai įregistruotų seniūnijų sk.,
,,,,,pavadinimai_n,integer,U,,,4,open,,Naujai įregistruotų pavadinimų sk.,
,,,,,viso,integer,U,,,4,open,,"Naujai įregistruotų objektų sk., iš viso",
