id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/isregobjektusk,,,,,,,,,,,,Išregistruotų Adresų registro objektų skaičius per mėnesį,
,,,,IsregObjektuSk,,,"sav_kodas, metai, menuo",,,3,,,Išregistruotų Adresų registro objektų skaičius per mėnesį,
,,,,,adm_kodas,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Apskrities kodas,
,,,,,adm_pavadinimas,ref,/datasets/gov/rc/ar/apskritis/Apskritis,,,4,open,,Apskrities pavadinimas,
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Savivaldybės kodas,
,,,,,sav_pavadinimas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,,Savivaldybės pavadinimas,
,,,,,metai,number,,,,2,open,,Metai ,
,,,,,menuo,number,,,,2,open,,Mėnuo,
,,,,,patalpos_i,number,U,,,4,open,,Išregistruotų patalpų sk.,
,,,,,adresai_i,number,U,,,4,open,,Išregistruotų adresų taškų sk. ,
,,,,,gatves_i,number,U,,,4,open,,Išregistruotų gatvių sk.,
,,,,,gyv_vietovės_i,number,U,,,4,open,,Išregistruotų gyvenamųjų vietovių sk.,
,,,,,seniunijos_i,number,U,,,4,open,,Išregistruotų seniūnijų sk.,
,,,,,pavadinimai_i,number,U,,,4,open,,Išregistruotų pavadinimų sk.,
,,,,,viso_i,number,U,,,4,open,,"Išregistruotų objektų sk., iš viso",
