id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ar/pakobjektusk,,,,,,,,,,,,Pakeistų Adresų registro objektų skaičius per mėnesį,
,,,,PakObjektuSk,,,"sav_kodas, metai, menuo",,,3,,,Pakeistų Adresų registro objektų skaičius per mėnesį,
,,,,,adm_kodas,ref,/datasets/gov/rc/ar/apskritis/Apskritis,adm_kodas,,4,open,,Apskrities kodas,
,,,,,adm_pavadinimas,ref,/datasets/gov/rc/ar/apskritis/Apskritis,adm_pavadinimas,,4,open,,Apskrities pavadinimas,
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,sav_kodas,,4,open,,Savivaldybės kodas,
,,,,,sav_pavadinimas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,sav_pavadinimas,,4,open,,Savivaldybės pavadinimas,
,,,,,metai,number,,metai,,2,open,,Metai ,
,,,,,menuo,number,,menuo,,2,open,,Mėnuo,
,,,,,patalpos_k,number,U,patalpos_k,,4,open,,Pakeistų patalpų sk.,
,,,,,adresai_k,number,U,adresai_k,,4,open,,Pakeistų adresų taškų sk. ,
,,,,,gatves_k,number,U,gatves_k,,4,open,,Pakeistų gatvių sk.,
,,,,,gyv_vietovės_k,number,U,gyv_vietoves_k,,4,open,,Pakeistų gyvenamųjų vietovių sk.,
,,,,,seniunijos_k,number,U,seniunijos_k,,4,open,,Pakeistų seniūnijų sk.,
,,,,,pavadinimai_k,number,U,pavadinimai_k,,4,open,,Pakeistų pavadinimų sk.,
,,,,,viso,number,U,viso_k,,4,open,,"Pakeistų objektų sk., iš viso",
