id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/hr/skolininkai,,,,,,,,,,,,Likviduoto hipotekos registro (HR) archyviniai duomenys apie skolininkus,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,Skolininkas,,,sandorio_id,,,2,,,HR archyviniai duomenys apibūdinantys skolininkus,
,,,,,sandorio_id,integer,,,,2,open,,Sandorio identifikatorius dirbtinis,
,,,,,amnt_grupe,string,,,,3,open,,Skolininko asmens tipo grupė,
,,,,,amziaus_grupe,string,,,,3,open,,Skolininko amžiaus grupė,
,,,,,reg_data,integer,,,,2,open,,Skolininko registracijos data (metai),
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,sal_grupe,string,,,,3,open,,Skolininko šalies grupės pavadinimas,
,,,,,sandorio_tipas,ref,/datasets/gov/rc/hr/tipu_klasifikatoriai/SandorioTipas,,,2,open,,Sandorio tipas,
,,,,,sand_ireg_ketv,date,Q,,,2,open,,Sandorio įregistravimo metai - ketvirtis,
,,,,,sand_isreg_ketv,date,Q,,,2,open,,Sandorio išregistravimo metai - ketvirtis,
,,,,,iraso_priezastis,string,,,,2,open,,Įrašo pagrindas,
,,,,,sandorio_vieta,string,,,,2,open,,Sandorio sudarymo vieta (sav. ; aps.),
,,,,,pri_dydis_rez,string,,,,2,open,,Prievolėsrėžių dydžiai,
,,,,,pri_terminas_metai,integer,,,,2,open,,"Prievolės įvykdymo terminas (metai, NULL - nėra duomenų)",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,maksimalus,integer,,,,4,open,,Ar maksimalioji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,paprastas,integer,,,,4,open,,Ar paprastoji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,jungtinis,integer,,,,4,open,,Ar jungtinė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,svetimas,integer,,,,4,open,,Ar svetimo turto hipoteka (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,bendras,integer,,,,4,open,,Ar bendroji hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,salyginis,integer,,,,4,open,,Ar sąlyginė hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,pareikstinis,integer,,,,4,open,,Ar pareikštinė  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,imones,integer,,,,4,open,,Ar įmonės hipoteka  (1 - taip; 0 - ne),
,,,,,,enum,,,0,,,,Ne,
,,,,,,,,,1,,,,Taip,
,,,,,formavimo_data,date,D,,,4,open,,Duomenų formavimo data,
