id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/ir/statistika,,,,,,,,,,,,Įgaliojimų registro (ĮR) statistika,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,,,IrStatistika,,,nr,,,4,,,Įgaliojimų registro statistika,
,,,,,nr,integer,,,,4,open,,Eilės numeris šiame duomenų rinkinyje,
,,,,,metai,integer,,,,2,open,,"Metai, kuriais užregistruotas (arba baigia galioti) įgaliojimas",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,ketvirtis,integer,,,,3,open,,"Ketvirtis, kurį užregistruotas (arba baigia galioti) įgaliojimas",
,,,,,ireg_ntpi_igaliojimu_kiekis,integer,,,,3,open,,"Įgaliojimų, kuriuos registravo notarai, konsuliniai pareigūnai ir CK 2.138 str. 2 dalyje nurodyti asmenys, kiekis per ketvirtį",
,,,,,isreg_ntpi_igaliojimu_kiekis,integer,,,,3,open,,"Baigusių galioti įgaliojimų, kuriuos registravo notarai, konsuliniai pareigūnai ir CK 2.138 str. 2 dalyje nurodyti asmenys, kiekis per ketvirtį",
,,,,,ireg_itpsi_igaliojimu_kiekis,string,,,,3,open,,"Įgaliojimų, kurie registruoti savitarnos portale, kiekis per ketvirtį",
,,,,,isreg_itpsi_igaliojimu_kiekis,string,,,,3,open,,"Baigusių galioti įgaliojimų, kurie registruoti savitarnos portale, kiekis per ketvirtį",
,,,,,igaliotojas_fa_kiekis,integer,,,,3,open,,Įgaliotojų fizinių asmenų kiekis,
,,,,,igaliotojas_ja_kiekis,integer,,,,3,open,,Įgaliotojų juridinių asmenų kiekis,
,,,,,igaliotojas_perse_kiekis,string,,,,3,open,,Įgaliotojų juridinių asmenų pats iš savęs (lot. Per se) kiekis ,
,,,,,igaliotasis_fa_kiekis,integer,,,,3,open,,Įgaliotų fizinių asmenų kiekis,
,,,,,igaliotasis_ja_kiekis,integer,,,,3,open,,Įgaliotų juridinių asmenų kiekis,
