id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/rc/jadis/ja_akc_dal_nar_paj,,,,,,,,,,,,"Juridinių asmenų akcininkų, dalininkų, narių ir pajininkų skaičiai pagal tipą",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,JuridinisAsmuo,,,org_jar_kodas,,,4,,,"Juridinių asmenų akcininkų, dalininkų, narių ir pajininkų skaičiai pagal tipą","Registrų centro Juridinių asmenų dalyvių informacinė sistema (JADIS) tvarko ir apdoroja juridinių asmenų dalyvių duomenis. Duomenys kaupiami nuo 2014 m. ir yra atnaujinami kasdien. Duomenų rinkinys apima juridinio asmens kodą ir pavadinimą, akcininkų, dalininkų, narių ir pajininkų skaičius pagal tipą. Galimi tipai yra Lietuvos arba užsienio fizinis asmuo, Lietuvos arba užsienio juridinis asmuo bei Lietuvos Respublikos savivaldybės."
,,,,,org_jar_kodas,string,,,,4,open,,,
,,,,,org_pavadinimas,string,,,,4,open,,,
,,,,,lr_fiz_akc_sk,integer,U,,,4,open,,,
,,,,,uzs_fiz_akc_sk,integer,U,,,4,open,,,
,,,,,lr_jur_akc_sk,integer,U,,,4,open,,,
,,,,,uzs_jur_akc_sk,integer,U,,,4,open,,,
,,,,,lr_sav_akc_sk,integer,U,,,4,open,,,
,,,,,lr_fiz_nar_sk,integer,U,,,4,open,,,
,,,,,uzs_fiz_nar_sk,integer,U,,,4,open,,,
,,,,,lr_jur_nar_sk,integer,U,,,4,open,,,
,,,,,uzs_jur_nar_sk,integer,U,,,4,open,,,
,,,,,lr_sav_nar_sk,integer,U,,,4,open,,,
,,,,,lr_fiz_dal_sk,integer,U,,,4,open,,,
,,,,,uzs_fiz_dal_sk,integer,U,,,4,open,,,
,,,,,lr_jur_dal_sk,integer,U,,,4,open,,,
,,,,,uzs_jur_dal_sk,integer,U,,,4,open,,,
,,,,,lr_sav_dal_sk,integer,U,,,4,open,,,
,,,,,lr_fiz_paj_sk,integer,U,,,4,open,,,
,,,,,uzs_fiz_paj_sk,integer,U,,,4,open,,,
,,,,,lr_jur_paj_sk,integer,U,,,4,open,,,
,,,,,uzs_jur_paj_sk,integer,U,,,4,open,,,
,,,,,lr_sav_paj_sk,integer,U,,,4,open,,,
